,condition_name,drug_name,affect,summary
10,Acute liver injury,orlistat,1,"There have been rare postmarketing reports of severe liver injury, including hepatocellular necrosis or acute hepatic failure, in patients treated with orlistat (XENICAL), with some cases resulting in liver transplant or death. Patients are advised to report symptoms of liver dysfunction and discontinue orlistat if such symptoms occur, with immediate liver function tests to be conducted. However, a definitive causal relationship between orlistat and acute liver injury has not been established."
11,Acute liver injury,Valproate,1,"Valproate has been associated with acute liver injury, as indicated by the presence of lactic acidosis and severe hepatomegaly with steatosis in the boxed warnings and precautions sections of its labeling. Clinical trials and post-marketing experiences have identified liver injury, including fatal cases, particularly in children under the age of two and in patients with mitochondrial disorders. The causal association is supported by the drug's labeling, reported adverse reactions, and the known hepatotoxic potential of valproate."
12,Acute liver injury,Primidone,0,I don't know.
13,Acute liver injury,lithium citrate,0,I don't know.
14,Acute liver injury,felbamate,1,"The evidence suggests a strong causal association between felbamate and acute liver injury, with approximately 67% of reported cases resulting in death or liver transplantation, often within 5 weeks of symptom onset. The earliest severe hepatic dysfunction was observed 3 weeks after felbamate initiation, and while prodromal symptoms like dark urine, anorexia, and malaise were reported in some cases, their presence was not consistent across all reports. Monitoring of serum transaminase levels is recommended to detect drug-induced hepatic injury early, and felbamate should be discontinued if liver enzyme levels significantly increase or clinical signs of liver failure are observed."
15,Acute liver injury,Clozapine,1,"Clozapine has been associated with eosinophilia, which can occur during the first month of treatment and has been linked to hepatitis, among other organ-specific diseases, suggesting a potential causal relationship with acute liver injury. This association may be indicative of a drug reaction with eosinophilia and systemic symptoms syndrome (DRESS), warranting prompt evaluation and possible discontinuation of clozapine if systemic disease is suspected. However, the provided context does not offer direct evidence of a causal link between clozapine and acute liver injury, but rather an association with eosinophilia that can accompany liver involvement."
16,Acute liver injury,Methenamine,0,"There is limited evidence suggesting a potential causal association between methenamine and acute liver injury, as indicated by a report of slightly elevated serum transaminase levels in a few instances during treatment with methenamine hippurate, which normalized while patients continued the medication. It is recommended that liver function studies be performed periodically on patients taking methenamine, especially those with pre-existing liver dysfunction."
17,Acute liver injury,Miconazole,0,"The provided documents do not contain direct evidence supporting a causal association between Miconazole and acute liver injury. However, caution is advised when administering Miconazole, particularly in the form of ORAVIG, to patients with hepatic impairment due to its metabolism by the liver. The documents focus on Itraconazole, which has been associated with serious hepatotoxicity, but this information cannot be directly extrapolated to Miconazole without specific clinical data."
18,Acute liver injury,oxybutynin,0,"There is no direct information provided in the context regarding the causal association between oxybutynin and acute liver injury. The documents provided discuss pioglitazone hydrochloride and its potential link to bladder cancer and liver test abnormalities, as well as the adverse effects of ACE inhibitors, but they do not mention oxybutynin or its association with liver injury. Therefore, based on the provided context, it is not possible to summarize the evidence supporting the causal association between oxybutynin and acute liver injury."
19,Acute liver injury,Nitrofurantoin,1,"Nitrofurantoin has been associated with rare occurrences of acute liver injury, including hepatitis, cholestatic jaundice, chronic active hepatitis, and hepatic necrosis, with some cases being fatal. The onset may be insidious, and monitoring for liver function changes is recommended; if hepatitis occurs, immediate withdrawal of the drug and appropriate measures are necessary. This information is supported by clinical trial data, postmarketing experience, and warnings included in medical documentation."
20,Acute liver injury,Hyoscyamine,0,I don't know.
21,Acute liver injury,Dicyclomine,0,I don't know.
22,Acute liver injury,Acetazolamide,1,"The provided documents do not contain direct evidence supporting a causal association between acetazolamide and acute liver injury. They focus on acetazolamide's potential to cause electrolyte imbalances, metabolic acidosis, and its interactions with other drugs, as well as its teratogenic effects in animals and potential hematologic reactions. Acute liver injury is not mentioned as an adverse event in the context of acetazolamide treatment."
23,Acute liver injury,infliximab,1,"Postmarketing data suggest a causal association between infliximab and acute liver injury, including acute liver failure, jaundice, hepatitis, and cholestasis, as these adverse events have been identified in adult and pediatric patients during post-approval use of infliximab products. However, due to the voluntary nature of postmarketing reports and the uncertain size of the population, the exact frequency and a definitive causal relationship are challenging to establish. Additionally, methodological limitations in studies, such as uncontrolled concomitant medication use and lack of disease severity assessment, hinder the interpretation of these findings."
24,Acute liver injury,Flavoxate,0,"There is no explicit mention of acute liver injury as an adverse reaction to Flavoxate in the provided documents. The listed adverse reactions include gastrointestinal, CNS, hematologic, cardiovascular, allergic, ophthalmic, and renal effects, but liver injury is not described, suggesting a lack of sufficient data to establish a causal association between Flavoxate and acute liver injury."
25,Acute liver injury,Scopolamine,0,I don't know.
26,Acute liver injury,Ketotifen,0,"There is no direct evidence provided in the context regarding the causal association between Ketotifen, specifically ACUVUE® Theravision™ with Ketotifen, and acute liver injury. The provided documents focus on the lack of systemic absorption of ocularly administered Ketotifen, its use during pregnancy and lactation, and pediatric and geriatric use, without mentioning liver injury. Additionally, the context includes information on pioglitazone hydrochloride and its potential liver-related adverse effects, which is not related to Ketotifen."
27,Acute liver injury,Lactulose,0,I don't know.
28,Acute liver injury,Sucralfate,0,"The provided documents do not report acute liver injury as an adverse reaction to sucralfate. Adverse reactions in clinical trials were minor and rarely led to discontinuation of the drug, with constipation being the most frequent complaint. Post-marketing cases include hypersensitivity and anaphylactic reactions, but there is no mention of acute liver injury in the context provided."
29,Acute liver injury,Tetrahydrocannabinol,0,I don't know.
30,Acute liver injury,Tolmetin,1,"The evidence for a causal association between Tolmetin and acute liver injury is suggested by reports of hepatitis and liver function abnormalities occurring in less than 1% of patients in controlled clinical trials or post-marketing, with a probable causal relationship. However, the exact incidence and mechanism remain less clear due to the low frequency of these events."
31,Acute liver injury,almotriptan,0,"The available postmarketing data and clinical trial information do not provide a direct causal association between almotriptan and acute liver injury; adverse reactions identified post-approval include various cardiac, gastrointestinal, and neurological events, but acute liver injury is not explicitly mentioned. The evidence for adverse reactions comes from voluntary reports with uncertain frequency and without established causality due to the spontaneous nature of reporting."
32,Acute liver injury,zafirlukast,1,"Evidence from post-marketing adverse event surveillance indicates a causal association between zafirlukast and acute liver injury, with reports of life-threatening hepatic failure, symptomatic hepatitis, and elevated liver enzymes in patients treated with the recommended dose. While most cases resolved after discontinuation of zafirlukast, there have been rare instances of fulminant hepatitis, hepatic failure, liver transplantation, and death. Liver function monitoring is advised, and zafirlukast should be discontinued if hepatic dysfunction is suspected."
33,Acute liver injury,Naproxen,1,"The evidence for a causal association between Naproxen and acute liver injury includes postmarketing reports of hepatitis and abnormal liver function tests, with some cases being fatal. However, due to the voluntary nature of these reports and the uncertain size of the population, it is challenging to reliably estimate the frequency of these adverse events or establish a definitive causal relationship to Naproxen exposure."
34,Acute liver injury,oxaprozin,1,"The evidence suggests a potential causal association between oxaprozin and acute liver injury, as indicated by the recommendation to monitor liver function in patients on long-term NSAID treatment, including oxaprozin, due to the risk of hepatotoxicity. Postmarketing experience has identified hepatitis as an adverse reaction, although the frequency and causal relationship to oxaprozin exposure are not reliably estimated. Patients are advised to discontinue oxaprozin if abnormal liver tests persist or worsen, or if clinical signs and symptoms of liver disease develop."
35,Acute liver injury,celecoxib,1,"Clinical trials and postmarketing reports indicate that celecoxib use is associated with a risk of hepatotoxicity, with up to 15% of patients experiencing mild elevations in liver enzymes (ALT or AST less than three times ULN) and about 0.2% of patients showing notable elevations. Severe hepatic reactions, including acute liver injury, are rare but have been reported. Patients should be informed of hepatotoxicity symptoms and celecoxib should be discontinued immediately if signs consistent with liver disease develop."
36,Acute liver injury,benzonatate,0,I don't know.
37,Acute liver injury,Ketorolac,1,"Evidence from clinical trials and postmarketing surveillance indicates that ketorolac tromethamine can lead to elevated liver enzymes and, in rare instances, liver failure. The causal association between ketorolac and acute liver injury is supported by its inclusion in adverse reactions and severe complications, which practitioners are cautioned to monitor, especially at higher doses and with inappropriate use."
38,Acute liver injury,salmeterol,0,"Clinical trials and postmarketing experience with salmeterol have reported transient elevations in hepatic enzymes in ≥1% of subjects, but these were not associated with clinically relevant changes or discontinuation from the trials. There is no direct evidence or specific mention of acute liver injury as an adverse event causally associated with salmeterol in the provided documents."
39,Acute liver injury,Ergotamine,0,"The provided context does not contain information about ergotamine and its association with acute liver injury. Instead, it discusses adverse reactions related to entecavir and pioglitazone hydrochloride, including exacerbations of hepatitis, lactic acidosis, and hepatomegaly with steatosis. Therefore, based on the given documents, there is no evidence to summarize regarding the causal association between ergotamine and acute liver injury."
40,Acute liver injury,Piroxicam,1,"Clinical trials have reported that approximately 1% of patients treated with NSAIDs, including piroxicam, experienced elevations in liver enzymes (ALT or AST) at three or more times the upper limit of normal. Additionally, rare cases of severe hepatic injury, including fulminant hepatitis, liver necrosis, and hepatic failure, have been associated with piroxicam use. Patients should be informed of hepatotoxicity symptoms and piroxicam should be discontinued immediately if signs and symptoms of liver disease develop."
41,Acute liver injury,fluticasone,0,"The provided context does not contain information regarding the causal association between fluticasone and acute liver injury. Instead, it discusses pioglitazone hydrochloride and its potential liver-related adverse effects, as well as bladder cancer risks. Additionally, it mentions serious hepatotoxicity associated with itraconazole. Therefore, based on the given documents, there is no evidence to summarize regarding fluticasone and acute liver injury."
42,Acute liver injury,Allopurinol,1,"The evidence for a causal association between allopurinol and acute liver injury includes documented cases of reversible hepatotoxicity, with some patients experiencing asymptomatic rises in serum alkaline phosphatase or serum transaminases. Patients are advised to monitor liver function and discontinue allopurinol if signs of liver injury, such as anorexia, weight loss, or pruritus, develop."
43,Acute liver injury,Ibuprofen,1,"There is a recognized risk of acute liver injury associated with ibuprofen use, as evidenced by the recommendation to discontinue ibuprofen in patients who develop clinical signs and symptoms consistent with liver disease or abnormal liver test values. The causal relationship is supported by postmarketing surveillance and clinical studies, which necessitate monitoring liver function during ibuprofen therapy, especially in cases where systemic manifestations like eosinophilia and rash occur, indicating a more severe hepatic reaction."
44,Acute liver injury,Indomethacin,1,"Clinical trials have reported that approximately 1% of patients treated with NSAIDs, including indomethacin, experienced elevations of liver enzymes (ALT or AST) to more than three times the upper limit of normal, with rare cases of severe hepatic injury, including fulminant hepatitis, liver necrosis, and hepatic failure. Additionally, up to 15% of patients may experience lesser elevations of liver enzymes. These findings, along with the recommendation to discontinue indomethacin immediately if clinical signs and symptoms of liver disease develop, support a causal association between indomethacin and acute liver injury."
45,Acute liver injury,Etodolac,1,"The evidence for a causal association between Etodolac and acute liver injury is suggested by postmarketing reports of elevated liver enzymes, hepatitis, cholestatic hepatitis, jaundice, hepatic failure, and liver necrosis. However, these adverse reactions have an incidence of less than 1% and are not commonly observed in clinical trials, indicating that while there is a potential risk, it is rare and the causal relationship is not fully established."
46,Acute liver injury,Sulindac,1,"Evidence from clinical trials and post-marketing reports indicates that sulindac, like other NSAIDs, can cause hepatic side effects ranging from mild liver test abnormalities to rare cases of severe hepatic reactions, including jaundice, fatal fulminant hepatitis, liver necrosis, and hepatic failure. Borderline elevations of liver enzymes occur in up to 15% of patients taking sulindac, with less than 1% experiencing significant elevations. Patients presenting with symptoms or signs of liver dysfunction while on sulindac therapy should be evaluated for more severe hepatic reactions, and discontinuation of the drug should be considered if liver test abnormalities persist or worsen."
47,Acute liver injury,imatinib,1,"The evidence supporting the causal association between imatinib and acute liver injury includes reports of hepatotoxicity, occasionally severe, with both short-term and long-term use of imatinib mesylate. Cases of fatal liver failure and severe liver injury requiring liver transplants have been reported, and monitoring of liver function is recommended before and during treatment, with management involving imatinib mesylate interruption and/or dose reduction as needed. Increased liver enzymes (ALT and AST) were also observed in clinical trials, indicating potential liver injury."
48,Acute liver injury,Methotrexate,1,"Methotrexate has been associated with hepatotoxicity, which may manifest as fibrosis or cirrhosis, particularly in patients with psoriasis and those with heavy alcohol consumption. The risk of acute liver injury increases with the total cumulative dose, especially after a cumulative dose of 1.5 g or more. Liver function should be monitored regularly, and methotrexate should be withheld or discontinued if severe liver toxicity is observed."
49,Acute liver injury,Methyldopa,1,"Methyldopa has been associated with liver disorders, including hepatitis and jaundice, as well as abnormal liver function tests, which are listed under the WARNINGS section of its documentation. These hepatic adverse reactions are considered significant, though infrequent, and can potentially lead to fatal complications if not properly recognized and managed. The causal association is supported by the recommendation for periodic liver function tests during methyldopa therapy and the need for careful monitoring, with the implication that methyldopa may be discontinued if Coombs-positive hemolytic anemia or liver disorders occur."
50,Acute liver injury,Lisinopril,1,"Evidence suggests a causal association between Lisinopril, an ACE inhibitor, and acute liver injury, as ACE inhibitors have been linked to a syndrome that may start with cholestatic jaundice or hepatitis and progress to fulminant hepatic necrosis, potentially leading to death. The exact mechanism of this syndrome is not fully understood, but patients who develop jaundice or significant elevations in hepatic enzymes while on Lisinopril are advised to discontinue the medication and seek medical treatment."
51,Acute liver injury,Adenosine,0,"There is no explicit mention of acute liver injury as an adverse event associated with adenosine in the provided documents. The adverse reactions listed for adenosine primarily involve cardiovascular, respiratory, central nervous system, and gastrointestinal systems, with post-marketing experiences including arrhythmias and bronchospasm, but acute liver injury is not reported in the context of adenosine administration."
52,Acute liver injury,moexipril,1,"Evidence for the causal association between moexipril and acute liver injury is not explicitly established in the provided context. However, there are reports of elevated liver enzymes associated with moexipril hydrochloride administration, although these occurrences are rare and the causal relationship is unknown. The incidence of laboratory abnormalities, including those related to liver function, was similar between moexipril-treated patients and those receiving placebo."
53,Acute liver injury,Dacarbazine,1,"The provided context does not contain specific information regarding the causal association between Dacarbazine and acute liver injury. The documents focus on pioglitazone hydrochloride and its association with bladder cancer and liver test abnormalities, as well as adverse reactions to didanosine, including pancreatitis and hepatotoxicity. Therefore, based on the given context, I cannot provide a summary of the evidence supporting the causal association between Dacarbazine and acute liver injury."
54,Acute liver injury,gemcitabine,1,"The evidence from clinical trials suggests that gemcitabine, particularly when used in combination with cisplatin, can lead to hepatic adverse events such as increased transaminases and increased alkaline phosphatase, which are indicative of liver injury. These hepatic laboratory abnormalities occurred in a significant proportion of patients treated with gemcitabine and cisplatin, with increased transaminases observed in 22% and increased alkaline phosphatase in 19% of patients. However, the documents provided do not explicitly establish a direct causal relationship between gemcitabine and acute liver injury, and further investigation into the frequency and causality of such adverse events is warranted."
55,Acute liver injury,Nifedipine,1,I don't know.
56,Acute liver injury,bosentan,1,"Clinical studies and postmarketing surveillance indicate that bosentan (TRACLEER) is associated with hepatotoxicity, evidenced by at least a 3-fold upper limit of normal (ULN) elevation of liver aminotransferases (ALT and AST) in approximately 11% of patients, with some cases also presenting elevated bilirubin levels. Rare instances of unexplained hepatic cirrhosis and liver failure have been reported, particularly after prolonged use, where the contribution of bosentan could not be excluded. Monitoring liver aminotransferases prior to and monthly during treatment is recommended, and discontinuation of bosentan is advised if elevations are accompanied by signs or symptoms of liver dysfunction or injury, or if bilirubin levels increase to ≥2×ULN."
57,Acute liver injury,Diltiazem,1,"The provided documents do not contain direct evidence supporting the causal association between Diltiazem and acute liver injury. Instead, they discuss adverse reactions and laboratory abnormalities related to other drugs, such as didanosine and entecavir, with mentions of pancreatitis, lactic acidosis, severe hepatomegaly with steatosis, and hepatic toxicity, but not specifically linking Diltiazem to acute liver injury. Therefore, based on the provided context, a causal association between Diltiazem and acute liver injury cannot be established."
58,Acute liver injury,quinapril,1,"The provided documents do not contain direct evidence of a causal association between quinapril and acute liver injury. However, they mention that ACE inhibitors, the class of drugs to which quinapril belongs, have been rarely associated with a syndrome that starts with cholestatic jaundice and progresses to fulminant hepatic necrosis, sometimes resulting in death. Patients who develop jaundice or marked elevations of hepatic enzymes while on ACE inhibitors should discontinue the medication and receive appropriate medical follow-up."
59,Acute liver injury,Busulfan,1,"Evidence indicates that high busulfan area under the curve (AUC) values are associated with an increased risk of Hepatic Veno-Occlusive Disease (HVOD), a form of acute liver injury, particularly in patients with prior radiation therapy, chemotherapy, or stem cell transplants. HVOD was diagnosed in 8% of patients treated with Busulfan Injection in a transplantation setting, with a 40% fatality rate among those cases, suggesting a significant causal association between busulfan and acute liver injury."
60,Acute liver injury,Ramipril,1,"Evidence from clinical trials and post-marketing experience suggests that ramipril administration can be associated with elevations of liver enzymes and rare cases of hepatic failure, indicating a potential causal relationship with acute liver injury. However, the exact causal relationships remain uncertain, with less than 0.2% of patients discontinuing treatment due to abnormal liver-function tests, and the context does not provide a definitive incidence rate or risk assessment for acute liver injury specifically."
61,Acute liver injury,Phentolamine,0,I don't know.
62,Acute liver injury,bortezomib,1,"The provided documents indicate that cases of acute liver failure, hepatitis, increases in liver enzymes, and hyperbilirubinemia have been reported in patients treated with bortezomib, particularly in those receiving multiple concomitant medications and with serious underlying medical conditions. Bortezomib therapy should be interrupted to assess reversibility of hepatic toxicity, with limited information available on the outcomes of rechallenging such patients. This suggests a potential causal association between bortezomib and acute liver injury, warranting close monitoring and caution in patients with pre-existing hepatic conditions or those on multiple medications."
63,Acute liver injury,Captopril,1,"The evidence suggests a rare but serious causal association between Captopril, an ACE inhibitor, and acute liver injury, characterized by a syndrome that may start with cholestatic jaundice and progress to fulminant hepatic necrosis and sometimes death. The exact mechanism of this adverse event is not well understood, and patients who develop jaundice or significant elevations in hepatic enzymes while on Captopril should discontinue the drug and receive prompt medical evaluation and follow-up."
64,Acute liver injury,Enalaprilat,1,"The evidence suggests that ACE inhibitors, including enalaprilat, have been rarely associated with a syndrome that may start with cholestatic jaundice and progress to fulminant hepatic necrosis, potentially leading to death. The exact mechanism of this adverse hepatic reaction is not well understood. Patients on enalaprilat who develop jaundice or significant elevations in hepatic enzymes should discontinue the drug and receive prompt medical evaluation and follow-up."
65,Acute liver injury,trandolapril,1,"The evidence suggests a potential causal association between trandolapril and acute liver injury, as indicated by occasional elevation of transaminases in 0.8% of patients and persistent increase in bilirubin in 0.2% of patients, with some cases leading to discontinuation of treatment due to elevated liver enzymes. These findings are consistent with known adverse effects of ACE inhibitors, which include hepatic side effects such as jaundice and hepatitis."
66,Acute liver injury,Flutamide,1,I don't know.
67,Acute liver injury,Tamoxifen,1,"Tamoxifen has been associated with various liver abnormalities, including changes in liver enzyme levels and, on rare occasions, severe liver issues such as fatty liver, cholestasis, hepatitis, and hepatic necrosis, with some cases resulting in fatalities. The causal relationship between tamoxifen and acute liver injury is uncertain, but there have been instances of positive rechallenges and dechallenges reported, suggesting a potential link. In clinical trials, such as the NSABP P-1, few severe changes in liver function were observed in patients treated with tamoxifen compared to placebo."
68,Acute liver injury,Thioguanine,1,"Evidence supports a causal association between thioguanine and acute liver injury, particularly when used in maintenance or long-term continuous therapy, as it is associated with a high risk of liver toxicity manifesting as hepatic veno-occlusive disease or portal hypertension. Histopathological features of this toxicity include hepatoportal sclerosis, nodular regenerative hyperplasia, peliosis hepatitis, and periportal fibrosis, with reversal of symptoms upon drug withdrawal. Liver enzyme elevations are also reported but are not consistent indicators of toxicity."
69,Acute liver injury,Methimazole,1,"The provided documents do not contain direct evidence supporting the causal association between methimazole and acute liver injury. However, they do mention severe complications such as vasculitis, which can involve various organs, and the need for close monitoring of patients for signs of illness. Methimazole is also noted as the preferred antithyroid drug over propylthiouracil in pediatric patients due to reports of severe liver injury with the latter, suggesting a relative safety profile regarding hepatic effects."
70,Acute liver injury,Niacin,1,I don't know.
71,Acute liver injury,pioglitazone,1,"There is no strong evidence of a causal association between pioglitazone and acute liver injury in the provided clinical trial database; a specifically designed 3-year trial showed only 0.3% of patients treated with pioglitazone had ALT values greater than three times the upper limit of the reference range, with no cases exhibiting the combination of ALT and bilirubin levels predictive of severe drug-induced liver injury. However, caution is advised when initiating pioglitazone in patients with abnormal liver tests, and treatment should be interrupted if patients develop liver test abnormalities indicative of liver injury during therapy."
72,Acute liver injury,Propylthiouracil,1,"Evidence from voluntary reports and clinical documentation indicates that propylthiouracil is associated with severe liver injury, including hepatitis, liver failure necessitating liver transplantation, or resulting in death, particularly within the first six months of therapy. These adverse reactions have been observed in both adult and pediatric patients, with some cases being fatal or requiring liver transplantation, and are acknowledged in the drug's warnings, although a precise frequency or causal relationship is difficult to establish due to the nature of voluntary reporting."
73,Acute liver injury,sitagliptin,0,"The provided documents do not contain direct evidence supporting the causal association between sitagliptin and acute liver injury. Instead, they discuss the safety and efficacy of sitagliptin in pediatric use, its excretion in lactating rats, and considerations for use in geriatric patients and those with renal impairment. Additionally, there is extensive information on pioglitazone hydrochloride, including its potential association with bladder cancer and liver test abnormalities, but this is not relevant to sitagliptin and acute liver injury. Therefore, based on the provided context, there is no known knowledge of a causal association between sitagliptin and acute liver injury."
74,Acute liver injury,Tinidazole,0,I don't know.
75,Acute liver injury,Itraconazole,1,"Clinical trials and post-marketing reports have associated itraconazole with rare but serious hepatotoxicity, including cases of liver failure and death, some of which occurred in patients without pre-existing liver disease or significant underlying medical conditions. Abnormal hepatic function was reported in 3% of patients in clinical trials for systemic fungal infections, and elevated liver enzymes led to discontinuation of therapy in 4% of patients in toenail onychomycosis trials. Given these findings, monitoring liver function is recommended during itraconazole treatment, and the drug should be discontinued if signs or symptoms of liver disease develop."
76,Acute liver injury,posaconazole,1,"Clinical trials have reported hepatic reactions, including mild to moderate elevations in liver enzymes and clinical hepatitis, associated with posaconazole use, which were generally reversible upon discontinuation. More severe hepatic reactions, such as cholestasis and hepatic failure sometimes resulting in death, have been observed, particularly in patients with serious underlying conditions and those receiving higher doses (800 mg daily) of Noxafil® oral suspension. Monitoring of liver tests is recommended at the start and during posaconazole therapy, with consideration for drug discontinuation if signs and symptoms of liver disease develop."
77,Acute liver injury,Lamivudine,1,"The evidence suggests that lamivudine, a nucleoside analogue, has been associated with lactic acidosis and severe hepatomegaly with steatosis, which can be fatal and are more frequently reported in women, with female sex and obesity as potential risk factors. Clinical or laboratory findings indicative of lactic acidosis or pronounced hepatotoxicity, including hepatomegaly and steatosis even without significant transaminase elevations, warrant suspension of lamivudine treatment. Additionally, postmarketing experiences have identified lactic acidosis and hepatic steatosis as adverse reactions potentially linked to lamivudine, although causality is difficult to establish due to voluntary reporting from an unknown population size."
78,Acute liver injury,Zidovudine,1,"The use of zidovudine has been associated with hematologic toxicity, including severe anemia and neutropenia, particularly in patients with advanced HIV-1 disease, and there are reports of lactic acidosis and severe hepatomegaly with steatosis, which can be fatal. Zidovudine is metabolized by the liver, and concentrations may be increased in patients with impaired hepatic function, potentially increasing the risk of hematologic toxicity; however, there are insufficient data to recommend dose adjustments in these patients. Acute liver injury is not explicitly listed among the adverse events following zidovudine overdose, but the drug's association with severe hepatomegaly with steatosis suggests a potential for hepatotoxicity."
79,Acute liver injury,voriconazole,1,"Clinical trials and post-marketing data suggest a causal association between voriconazole and acute liver injury, with evidence of increased transaminase levels (>3x ULN) in 17.7% of adult subjects in pooled clinical trials. Voriconazole has been infrequently associated with serious hepatic toxicity, including jaundice, hepatitis, and rare cases of hepatic failure leading to death, particularly in patients with serious underlying conditions. Monitoring of liver function tests is recommended at the start and during therapy, with consideration for discontinuation if signs and symptoms of liver disease attributable to voriconazole develop."
80,Acute liver injury,gemifloxacin,1,"The provided documents do not contain direct evidence supporting a causal association between gemifloxacin and acute liver injury. However, they do mention increased liver enzymes (ALT and AST) as infrequent drug-related adverse events, which could suggest potential hepatotoxicity at a low frequency. Clinical monitoring for liver-related adverse effects is implied in the precautions due to the potential for increased liver enzymes."
81,Acute liver injury,Caspofungin,1,"The provided context does not contain specific information regarding the causal association between Caspofungin and acute liver injury. Instead, it discusses adverse reactions and hepatotoxicity related to Itraconazole and Posaconazole, which are different antifungal medications. Therefore, based on the given documents, I cannot provide a summary of the evidence supporting the causal association between Caspofungin and acute liver injury."
82,Acute liver injury,Didanosine,1,"There is a documented causal association between didanosine and acute liver injury, including lactic acidosis and severe hepatomegaly with steatosis, which can be fatal. These adverse events have been reported in patients using didanosine alone or in combination with other antiretrovirals, with an increased risk in women, obese individuals, and those with prolonged nucleoside exposure. Cases of hepatotoxicity, hepatic failure, and non-cirrhotic portal hypertension have also been reported, leading to recommendations for cautious use, monitoring, and potential discontinuation of didanosine in patients with liver disease or signs of liver injury."
83,Acute liver injury,Paromomycin,0,I don't know.
84,Acute liver injury,Penicillin V,0,"The provided documents do not contain information on Penicillin V and its association with acute liver injury. Instead, they discuss adverse reactions related to other drugs, such as didanosine and entecavir, with mentions of pancreatitis, lactic acidosis, and hepatomegaly with steatosis, but not acute liver injury specifically linked to Penicillin V. Therefore, based on the provided context, a causal association between Penicillin V and acute liver injury cannot be established."
85,Acute liver injury,abacavir,1,"The provided documents do not contain specific information regarding the causal association between abacavir and acute liver injury. However, they do mention that lactic acidosis and severe hepatomegaly with steatosis, which can include liver-related adverse events, have been reported with the use of nucleoside analogues like abacavir. Female sex and obesity may be risk factors for these conditions in patients treated with antiretroviral nucleoside analogues, and treatment with abacavir should be suspended if clinical or laboratory findings suggest lactic acidosis or pronounced hepatotoxicity."
86,Acute liver injury,tipranavir,1,"Clinical hepatitis and hepatic decompensation, including fatalities, have been reported with tipranavir (APTIVUS) co-administered with ritonavir, particularly in patients with advanced HIV-1 disease and multiple medications, though a causal relationship has not been established. Patients with chronic hepatitis B or C or elevated transaminases are at increased risk for hepatotoxicity, with studies showing a significant percentage developing Grade 3 or 4 hepatic transaminase elevations. Tipranavir is metabolized by the liver, and caution is advised when prescribing to patients with hepatic impairment due to potential increased drug concentrations."
