condition,model,mode,embed_model,gpt_model,sections,embeds,accuracy,precision,recall,f1,roc_auc,hold_accuracy,hold_precision,hold_recall,hold_f1,hold_roc_auc,file
acute liver injury,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9128630705394191,0.5,0.047619047619047616,0.08695652173913043,0.9426406926406926,0.8828125,0.0,0.0,0.0,0.622382005899705,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute kidney injury,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.8631178707224335,0.0,0.0,0.0,0.866128242780225,0.9458823529411765,0.0,0.0,0.0,0.7137140385031364,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute myocardial infarction,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.9312714776632303,1.0,0.047619047619047616,0.09090909090909091,0.7847442680776013,0.8881789137380192,0.0,0.0,0.0,0.5236382322713258,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
gi bleed,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.9329073482428115,0.6666666666666666,0.09090909090909091,0.16,0.8188066229303342,0.9070796460176991,0.0,0.0,0.0,0.6778164924506387,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute liver injury,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.9128630705394191,0.5,0.047619047619047616,0.08695652173913043,0.9088744588744588,0.8828125,0.0,0.0,0.0,0.7324852507374632,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute kidney injury,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.8631178707224335,0.0,0.0,0.0,0.8727361722956437,0.9458823529411765,0.0,0.0,0.0,0.7343175427211767,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute myocardial infarction,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.9278350515463918,0.0,0.0,0.0,0.728395061728395,0.8881789137380192,0.0,0.0,0.0,0.5768242548818088,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
gi bleed,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.9297124600638977,0.5,0.045454545454545456,0.08333333333333333,0.7570290534208061,0.9070796460176991,0.0,0.0,0.0,0.4500580720092915,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute liver injury,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.921161825726141,0.75,0.14285714285714285,0.24,0.9296536796536796,0.8828125,0.0,0.0,0.0,0.5883112094395281,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute kidney injury,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.8631178707224335,0.0,0.0,0.0,0.847895252080274,0.9458823529411765,0.0,0.0,0.0,0.5459117456197274,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute myocardial infarction,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9175257731958762,0.42105263157894735,0.38095238095238093,0.4,0.8473544973544974,0.8370607028753994,0.30952380952380953,0.37142857142857144,0.33766233766233766,0.752415210688592,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
gi bleed,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9233226837060703,0.45,0.4090909090909091,0.42857142857142855,0.8075601374570447,0.8982300884955752,0.4444444444444444,0.38095238095238093,0.41025641025641024,0.8821138211382114,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute liver injury,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.941908713692946,0.7692307692307693,0.47619047619047616,0.5882352941176471,0.9102813852813851,0.87890625,0.42857142857142855,0.1,0.16216216216216217,0.6123893805309734,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute kidney injury,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.8897338403041825,0.6296296296296297,0.4722222222222222,0.5396825396825397,0.8443465491923642,0.9270588235294117,0.3,0.2608695652173913,0.27906976744186046,0.8835171966255678,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute myocardial infarction,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.9140893470790378,0.35714285714285715,0.23809523809523808,0.2857142857142857,0.8045855379188712,0.8785942492012779,0.4634146341463415,0.5428571428571428,0.5,0.8126413155190133,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
gi bleed,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.9265175718849841,0.47368421052631576,0.4090909090909091,0.43902439024390244,0.7039206497969384,0.915929203539823,0.5555555555555556,0.47619047619047616,0.5128205128205128,0.8638792102206736,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute liver injury,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.941908713692946,0.7692307692307693,0.47619047619047616,0.5882352941176471,0.9046536796536797,0.857421875,0.3488372093023256,0.25,0.2912621359223301,0.7229535398230088,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute kidney injury,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.8783269961977186,0.5769230769230769,0.4166666666666667,0.4838709677419355,0.8575624082232012,0.9270588235294117,0.38235294117647056,0.5652173913043478,0.45614035087719296,0.8751351935972312,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute myocardial infarction,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.9243986254295533,0.4666666666666667,0.3333333333333333,0.3888888888888889,0.9080246913580245,0.8881789137380192,0.5,0.3142857142857143,0.38596491228070173,0.789568345323741,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
gi bleed,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.9233226837060703,0.45,0.4090909090909091,0.42857142857142855,0.8069353327085287,0.8982300884955752,0.45454545454545453,0.47619047619047616,0.46511627906976744,0.8735191637630662,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute liver injury,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.9336099585062241,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.8806277056277056,0.88671875,0.625,0.08333333333333333,0.14705882352941177,0.6211098820058997,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute kidney injury,knn,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.8783269961977186,0.5769230769230769,0.4166666666666667,0.4838709677419355,0.8380445423396965,0.9458823529411765,0.5,0.13043478260869565,0.20689655172413793,0.8266818083495566,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute myocardial infarction,logistic,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.908745247148289,0.6842105263157895,0.41935483870967744,0.52,0.8882091212458287,0.5798611111111112,0.19148936170212766,0.7941176470588235,0.30857142857142855,0.7678323297823065,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
gi bleed,logistic,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.8732394366197183,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.7878656866983715,0.5882352941176471,0.18811881188118812,0.9047619047619048,0.3114754098360656,0.843871975019516,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute liver injury,logistic,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.9457013574660633,0.6666666666666666,0.5,0.5714285714285714,0.8853658536585366,0.5185995623632386,0.16942148760330578,0.6833333333333333,0.271523178807947,0.6536104114189757,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute kidney injury,logistic,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.8949579831932774,0.45454545454545453,0.43478260869565216,0.4444444444444444,0.8719919110212335,0.5743589743589743,0.1005586592178771,0.782608695652174,0.1782178217821782,0.7763298187418552,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute myocardial infarction,logistic,rag,SFR-Embedding-Mistral,gpt35,all,support,0.9049429657794676,0.6363636363636364,0.45161290322580644,0.5283018867924528,0.8833426028921023,0.6041666666666666,0.20149253731343283,0.7941176470588235,0.32142857142857145,0.7447892542843908,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
gi bleed,logistic,rag,SFR-Embedding-Mistral,gpt35,all,support,0.8661971830985915,0.3225806451612903,0.37037037037037035,0.3448275862068966,0.7797953595618965,0.5833333333333334,0.17346938775510204,0.8095238095238095,0.2857142857142857,0.8204527712724434,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute liver injury,logistic,rag,SFR-Embedding-Mistral,gpt35,all,support,0.9502262443438914,0.6666666666666666,0.625,0.6451612903225806,0.8939024390243903,0.5317286652078774,0.16810344827586207,0.65,0.2671232876712329,0.6150293870696893,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute kidney injury,logistic,rag,SFR-Embedding-Mistral,gpt35,all,support,0.865546218487395,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.8091001011122345,0.5897435897435898,0.11299435028248588,0.8695652173913043,0.2,0.8373415472100462,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute myocardial infarction,logistic,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.8935361216730038,0.5789473684210527,0.3548387096774194,0.44,0.7915739710789766,0.5729166666666666,0.17518248175182483,0.7058823529411765,0.2807017543859649,0.6767600741083835,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
gi bleed,logistic,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.8732394366197183,0.32,0.2962962962962963,0.3076923076923077,0.7523418359994235,0.5588235294117647,0.17142857142857143,0.8571428571428571,0.2857142857142857,0.8316419463960447,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute liver injury,logistic,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.9230769230769231,0.46153846153846156,0.375,0.41379310344827586,0.775,0.5492341356673961,0.1853448275862069,0.7166666666666667,0.2945205479452055,0.6519521410579345,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute kidney injury,logistic,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.9159663865546218,0.5714285714285714,0.5217391304347826,0.5454545454545454,0.8515672396359959,0.4153846153846154,0.08163265306122448,0.8695652173913043,0.14925373134328357,0.6945859495320459,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute myocardial infarction,rf,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.8821292775665399,0.0,0.0,0.0,0.8599833147942159,0.8819444444444444,0.0,0.0,0.0,0.4227651690597498,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
gi bleed,rf,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.9049295774647887,0.0,0.0,0.0,0.8533650381899409,0.8970588235294118,0.0,0.0,0.0,0.7876658860265418,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute liver injury,rf,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.9276018099547512,0.0,0.0,0.0,0.885060975609756,0.8687089715536105,0.0,0.0,0.0,0.4699622166246852,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute kidney injury,rf,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.9033613445378151,0.5,0.043478260869565216,0.08,0.8827098078867543,0.941025641025641,0.0,0.0,0.0,0.5299727520435967,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute myocardial infarction,rf,rag,SFR-Embedding-Mistral,gpt35,all,support,0.8859315589353612,1.0,0.03225806451612903,0.0625,0.8597052280311458,0.8819444444444444,0.0,0.0,0.0,0.5313802686428901,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
gi bleed,rf,rag,SFR-Embedding-Mistral,gpt35,all,support,0.9049295774647887,0.0,0.0,0.0,0.8478166882836143,0.8970588235294118,0.0,0.0,0.0,0.5529534218058808,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute liver injury,rf,rag,SFR-Embedding-Mistral,gpt35,all,support,0.9321266968325792,1.0,0.0625,0.11764705882352941,0.8897865853658536,0.8687089715536105,0.0,0.0,0.0,0.5065281276238455,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute kidney injury,rf,rag,SFR-Embedding-Mistral,gpt35,all,support,0.907563025210084,1.0,0.043478260869565216,0.08333333333333333,0.8206268958543984,0.941025641025641,0.0,0.0,0.0,0.5156379575879635,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute myocardial infarction,rf,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.7756653992395437,0.0625,0.06451612903225806,0.06349206349206349,0.753337041156841,0.8819444444444444,0.0,0.0,0.0,0.6406322371468273,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
gi bleed,rf,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.9049295774647887,0.0,0.0,0.0,0.7314454532353366,0.8970588235294118,0.0,0.0,0.0,0.6212594327348425,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute liver injury,rf,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.9276018099547512,0.0,0.0,0.0,0.8202743902439025,0.8687089715536105,0.0,0.0,0.0,0.5191645675902603,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute kidney injury,rf,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.8991596638655462,0.0,0.0,0.0,0.8009100101112235,0.941025641025641,0.0,0.0,0.0,0.6175216206610592,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute myocardial infarction,knn,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.8859315589353612,0.6,0.0967741935483871,0.16666666666666666,0.6724137931034482,0.8263888888888888,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.6458429828624362,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
gi bleed,knn,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.9049295774647887,0.5,0.2222222222222222,0.3076923076923077,0.6505980688860066,0.8284313725490197,0.26666666666666666,0.38095238095238093,0.3137254901960784,0.8212334113973458,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute liver injury,knn,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.9321266968325792,0.5555555555555556,0.3125,0.4,0.79375,0.8687089715536105,0.5,0.06666666666666667,0.11764705882352941,0.6423593618807725,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute kidney injury,knn,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.9243697478991597,0.7777777777777778,0.30434782608695654,0.4375,0.7088978766430737,0.9282051282051282,0.3333333333333333,0.21739130434782608,0.2631578947368421,0.6980807961142045,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute myocardial infarction,knn,rag,SFR-Embedding-Mistral,gpt35,all,support,0.8897338403041825,0.75,0.0967741935483871,0.17142857142857143,0.6134593993325917,0.8125,0.25,0.29411764705882354,0.2702702702702703,0.6356530801296897,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
gi bleed,knn,rag,SFR-Embedding-Mistral,gpt35,all,support,0.9014084507042254,0.4444444444444444,0.14814814814814814,0.2222222222222222,0.6892203487534226,0.8529411764705882,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7243039292219621,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute liver injury,knn,rag,SFR-Embedding-Mistral,gpt35,all,support,0.9276018099547512,0.5,0.25,0.3333333333333333,0.8213414634146341,0.838074398249453,0.3333333333333333,0.23333333333333334,0.27450980392156865,0.641729638958858,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute kidney injury,knn,rag,SFR-Embedding-Mistral,gpt35,all,support,0.9033613445378151,0.5,0.13043478260869565,0.20689655172413793,0.6616784630940344,0.9384615384615385,0.4666666666666667,0.30434782608695654,0.3684210526315789,0.7319038028669589,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute myocardial infarction,knn,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.8897338403041825,0.75,0.0967741935483871,0.17142857142857143,0.7765572858731924,0.8923611111111112,0.6363636363636364,0.20588235294117646,0.3111111111111111,0.6861973135710977,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
gi bleed,knn,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.897887323943662,0.4166666666666667,0.18518518518518517,0.2564102564102564,0.7070903588413315,0.9264705882352942,1.0,0.2857142857142857,0.4444444444444444,0.8187613843351549,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute liver injury,knn,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.9276018099547512,0.5,0.25,0.3333333333333333,0.8039634146341463,0.8687089715536105,0.0,0.0,0.0,0.5614609571788413,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute kidney injury,knn,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.8991596638655462,0.46153846153846156,0.2608695652173913,0.3333333333333333,0.7787664307381192,0.9384615384615385,0.45454545454545453,0.21739130434782608,0.29411764705882354,0.6131974884492359,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
acute myocardial infarction,logistic,inprompt,ember-v1,gpt4,all,all_embeds,0.8865979381443299,0.2857142857142857,0.38095238095238093,0.32653061224489793,0.8440917107583774,0.645367412140575,0.2246376811594203,0.8857142857142857,0.3583815028901734,0.8371017471736896,inprompt_ember-v1_gpt4_embeddings.csv
gi bleed,logistic,inprompt,ember-v1,gpt4,all,all_embeds,0.8913738019169329,0.3,0.4090909090909091,0.34615384615384615,0.7994376757263355,0.588495575221239,0.18421052631578946,1.0,0.3111111111111111,0.9349593495934959,inprompt_ember-v1_gpt4_embeddings.csv
acute liver injury,logistic,inprompt,ember-v1,gpt4,all,all_embeds,0.941908713692946,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9201298701298701,0.5546875,0.171875,0.7333333333333333,0.27848101265822783,0.6964233038348082,inprompt_ember-v1_gpt4_embeddings.csv
acute kidney injury,logistic,inprompt,ember-v1,gpt4,all,all_embeds,0.8403041825095057,0.425,0.4722222222222222,0.4473684210526316,0.8518110621634851,0.5741176470588235,0.11274509803921569,1.0,0.2026431718061674,0.8931970581873242,inprompt_ember-v1_gpt4_embeddings.csv
acute myocardial infarction,logistic,inprompt,ember-v1,gpt4,all,support,0.865979381443299,0.21875,0.3333333333333333,0.2641509433962264,0.8137566137566138,0.5814696485623003,0.19230769230769232,0.8571428571428571,0.31413612565445026,0.8208119218910587,inprompt_ember-v1_gpt4_embeddings.csv
gi bleed,logistic,inprompt,ember-v1,gpt4,all,support,0.8722044728434505,0.275,0.5,0.3548387096774194,0.8019368947203999,0.6150442477876106,0.18867924528301888,0.9523809523809523,0.31496062992125984,0.9159117305458768,inprompt_ember-v1_gpt4_embeddings.csv
acute liver injury,logistic,inprompt,ember-v1,gpt4,all,support,0.9253112033195021,0.5652173913043478,0.6190476190476191,0.5909090909090909,0.9305194805194805,0.548828125,0.16731517509727625,0.7166666666666667,0.27129337539432175,0.6892699115044248,inprompt_ember-v1_gpt4_embeddings.csv
acute kidney injury,logistic,inprompt,ember-v1,gpt4,all,support,0.8479087452471483,0.4523809523809524,0.5277777777777778,0.48717948717948717,0.8683308859520313,0.5835294117647059,0.1111111111111111,0.9565217391304348,0.19909502262443438,0.8628596149686351,inprompt_ember-v1_gpt4_embeddings.csv
acute myocardial infarction,logistic,inprompt,ember-v1,gpt4,all,refute,0.8969072164948454,0.3333333333333333,0.42857142857142855,0.375,0.8116402116402116,0.597444089456869,0.19463087248322147,0.8285714285714286,0.31521739130434784,0.8013874614594039,inprompt_ember-v1_gpt4_embeddings.csv
gi bleed,logistic,inprompt,ember-v1,gpt4,all,refute,0.8881789137380192,0.27586206896551724,0.36363636363636365,0.3137254901960784,0.7980318650421743,0.6061946902654868,0.18518518518518517,0.9523809523809523,0.31007751937984496,0.9159117305458769,inprompt_ember-v1_gpt4_embeddings.csv
acute liver injury,logistic,inprompt,ember-v1,gpt4,all,refute,0.941908713692946,0.6842105263157895,0.6190476190476191,0.65,0.9086580086580087,0.5703125,0.16942148760330578,0.6833333333333333,0.271523178807947,0.6735803834808259,inprompt_ember-v1_gpt4_embeddings.csv
acute kidney injury,logistic,inprompt,ember-v1,gpt4,all,refute,0.8479087452471483,0.4473684210526316,0.4722222222222222,0.4594594594594595,0.7730053842388643,0.5529411764705883,0.107981220657277,1.0,0.19491525423728814,0.8870863075924724,inprompt_ember-v1_gpt4_embeddings.csv
acute myocardial infarction,rf,inprompt,ember-v1,gpt4,all,all_embeds,0.9278350515463918,0.0,0.0,0.0,0.8576719576719577,0.8881789137380192,0.0,0.0,0.0,0.5103288797533402,inprompt_ember-v1_gpt4_embeddings.csv
gi bleed,rf,inprompt,ember-v1,gpt4,all,all_embeds,0.9265175718849841,0.0,0.0,0.0,0.8080287410184317,0.9070796460176991,0.0,0.0,0.0,0.49186991869918695,inprompt_ember-v1_gpt4_embeddings.csv
acute liver injury,rf,inprompt,ember-v1,gpt4,all,all_embeds,0.9087136929460581,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.887987012987013,0.8828125,0.0,0.0,0.0,0.5158001474926254,inprompt_ember-v1_gpt4_embeddings.csv
acute kidney injury,rf,inprompt,ember-v1,gpt4,all,all_embeds,0.8631178707224335,0.0,0.0,0.0,0.8562775330396475,0.9458823529411765,0.0,0.0,0.0,0.5386653688081333,inprompt_ember-v1_gpt4_embeddings.csv
acute myocardial infarction,rf,inprompt,ember-v1,gpt4,all,support,0.9278350515463918,0.0,0.0,0.0,0.8653439153439153,0.8881789137380192,0.0,0.0,0.0,0.5508735868448099,inprompt_ember-v1_gpt4_embeddings.csv
gi bleed,rf,inprompt,ember-v1,gpt4,all,support,0.9265175718849841,0.0,0.0,0.0,0.8628553577007185,0.9070796460176991,0.0,0.0,0.0,0.5346109175377467,inprompt_ember-v1_gpt4_embeddings.csv
acute liver injury,rf,inprompt,ember-v1,gpt4,all,support,0.9128630705394191,0.5,0.09523809523809523,0.16,0.9338744588744589,0.8828125,0.0,0.0,0.0,0.598359144542773,inprompt_ember-v1_gpt4_embeddings.csv
acute kidney injury,rf,inprompt,ember-v1,gpt4,all,support,0.8555133079847909,0.0,0.0,0.0,0.873898678414097,0.9458823529411765,0.0,0.0,0.0,0.631786718581008,inprompt_ember-v1_gpt4_embeddings.csv
acute myocardial infarction,rf,inprompt,ember-v1,gpt4,all,refute,0.9278350515463918,0.0,0.0,0.0,0.7014991181657849,0.8881789137380192,0.0,0.0,0.0,0.5141829393627955,inprompt_ember-v1_gpt4_embeddings.csv
gi bleed,rf,inprompt,ember-v1,gpt4,all,refute,0.9265175718849841,0.0,0.0,0.0,0.7820212433614495,0.9070796460176991,0.0,0.0,0.0,0.44018583042973286,inprompt_ember-v1_gpt4_embeddings.csv
acute liver injury,rf,inprompt,ember-v1,gpt4,all,refute,0.9087136929460581,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.8771645021645021,0.8828125,0.0,0.0,0.0,0.611283185840708,inprompt_ember-v1_gpt4_embeddings.csv
acute kidney injury,rf,inprompt,ember-v1,gpt4,all,refute,0.8631178707224335,0.0,0.0,0.0,0.8497307880567792,0.9458823529411765,0.0,0.0,0.0,0.4402444300237941,inprompt_ember-v1_gpt4_embeddings.csv
