,drug_name,adr_name,gpt_output
10,metolazone,Constipation,"True. Constipation can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. Diuretics can lead to dehydration, which in turn can cause constipation. However, it's important to note that side effects can vary from person to person, and not everyone will experience constipation while taking metolazone. It's always best to consult with a healthcare provider for information specific to an individual's health situation."
11,metolazone,Cough,"Cough is not typically listed as a common side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalance, low blood pressure, dizziness, headache, and gastrointestinal issues. However, it's important to note that while cough is not a common side effect, it could occur as a rare side effect or due to an allergic reaction in some individuals. If someone experiences a cough after taking metolazone, they should consult their healthcare provider. 

Please note that this information is based on general medical knowledge and for specific medical advice, one should consult a healthcare professional."
12,metolazone,Cutaneous vasculitis,"Cutaneous vasculitis can indeed be a side effect of metolazone, although it is considered a rare side effect. Metolazone is a diuretic medication used to treat high blood pressure and edema (swelling) associated with heart failure or kidney disease. As with any medication, it can cause a range of side effects, and vasculitis, which is an inflammation of the blood vessels, is one of the potential adverse reactions, albeit uncommon.

Therefore, the statement is true. However, it is important to note that the occurrence of such a side effect is rare and that patients should consult with their healthcare provider for personalized medical advice and report any unusual symptoms while taking metolazone or any other medication."
13,metolazone,Depression,"Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Depression is not commonly listed as a side effect of metolazone. However, side effects can vary from person to person, and it is possible for individuals to experience mood changes or depression while taking various medications.

If a patient suspects that metolazone or any other medication is causing depression or any other unexpected side effects, they should consult with their healthcare provider for a proper assessment and guidance. It is important to review the patient information leaflet that comes with the medication or to consult with a healthcare professional for the most accurate and personalized information regarding side effects.

Based on the general information available, the statement ""Depression is a side effect of metolazone"" would typically be considered false, but individual experiences can vary, and any concerns should be addressed with a healthcare provider."
14,metolazone,Dermatitis,"Dermatitis can indeed be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Like many medications, it can have a range of side effects, and skin reactions such as dermatitis are possible, although not necessarily common. If a patient develops dermatitis or any other side effects while taking metolazone, they should consult their healthcare provider. 

Please note that my ability to determine the truth of a statement is based on existing knowledge and data available up to my last update. For the most current and personalized medical advice, it is always best to consult a healthcare professional."
15,metolazone,Diarrhoea,"True. Diarrhea is a potential side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with many medications, it can cause a range of side effects, and gastrointestinal issues such as diarrhea are among them. It is important for patients to consult with their healthcare provider if they experience any adverse effects while taking metolazone or any other medication."
16,metolazone,Dizziness,"True. Dizziness is a known side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. It is important for patients to be aware of this potential side effect and to take precautions, such as standing up slowly from sitting or lying positions to prevent dizziness and falls. If a patient experiences dizziness while taking metolazone, they should consult their healthcare provider."
17,metolazone,Dry mouth,"True. Dry mouth can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. Diuretics increase the excretion of water from the body, which can sometimes lead to dehydration and symptoms such as dry mouth. If you experience this side effect, it is important to discuss it with your healthcare provider."
18,metolazone,Dry skin,"True. Metolazone, a diuretic medication used to treat high blood pressure and fluid retention, can have several side effects, and dry skin is one of them. Diuretics increase the excretion of water from the body, which can lead to dehydration and subsequently dry skin among other potential side effects. It's important for patients taking metolazone to stay hydrated and discuss any side effects with their healthcare provider."
19,metolazone,Epistaxis,"True. Epistaxis, which is the medical term for nosebleeds, can be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention. Like many medications, it can have a range of side effects, and while epistaxis is not one of the most common side effects, it can occur. If someone experiences a nosebleed while taking metolazone, they should consult their healthcare provider."
20,metolazone,Fatigue,"True. Fatigue can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention due to various causes. As with many medications, it can have multiple side effects, and fatigue is one of them. Patients taking metolazone may experience a range of side effects, and if fatigue is severe or persistent, they should consult their healthcare provider."
21,metolazone,Glycosuria,"Glycosuria, which is the excretion of glucose into the urine, is not a typical side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention (edema) associated with congestive heart failure or kidney disease. Common side effects of metolazone include electrolyte imbalance, low blood pressure, and dizziness, but not glycosuria.

However, it is important to note that diuretics like metolazone can affect blood glucose levels, and in some cases, if a patient has diabetes or is at risk for diabetes, changes in blood glucose control could potentially lead to glycosuria. But this would be an indirect effect and not a typical side effect of the medication itself.

Therefore, the statement ""Glycosuria is a side effect of metolazone"" is generally false. If a patient taking metolazone experiences glycosuria, it is likely due to another underlying condition or factor, and they should consult their healthcare provider."
22,metolazone,Gout,"Gout is not a side effect of metolazone per se, but rather a potential indirect consequence. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema. Diuretics like metolazone can lead to increased uric acid levels in the blood, which can precipitate gout in susceptible individuals. Therefore, while gout is not a direct side effect, metolazone can create conditions that make a person more prone to developing gout. It's important to consult with a healthcare provider for accurate diagnosis and treatment options."
23,metolazone,Haemoconcentration,"False. Haemoconcentration is not a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention (edema) caused by various conditions, including heart failure. Diuretics like metolazone work by causing the kidneys to remove excess water and salt from the body through urine.

Haemoconcentration refers to an increase in the concentration of cells and solids in the blood, usually because of a loss of plasma. This can occur due to dehydration or other conditions that reduce plasma volume. Since diuretics increase urine production and can lead to dehydration if fluid intake is not adequate, they could theoretically contribute to haemoconcentration if not used properly. However, haemoconcentration itself is not a direct side effect of metolazone; rather, it could be a consequence of excessive fluid loss due to any diuretic, including metolazone, especially if fluid intake is not appropriately managed."
24,metolazone,Headache,"True. Headache can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with many medications, it can have a range of side effects, and headache is one of the possible adverse reactions listed. However, it's important to note that not everyone will experience this side effect, and the severity can vary among individuals. If someone is experiencing a headache or any other side effects from metolazone, they should consult with their healthcare provider."
25,metolazone,Hypercalcaemia,"True. Hypercalcemia, which is an elevated calcium level in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic which is used to treat high blood pressure and fluid retention (edema). One of the known side effects of thiazide and thiazide-like diuretics is an increase in serum calcium levels. This occurs because these drugs decrease the amount of calcium excreted in the urine. It's important for patients taking metolazone to have their electrolytes monitored, including serum calcium levels."
26,metolazone,Hyperglycaemia,"True. Hyperglycemia, which is an abnormally high blood glucose level, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Diuretics like metolazone can affect glucose tolerance and may lead to an increase in blood sugar levels. Patients with diabetes or those at risk for diabetes should be monitored closely if they are prescribed metolazone."
27,metolazone,Hyperuricaemia,"True. Hyperuricaemia, which is an abnormally high level of uric acid in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention. Diuretics like metolazone can lead to decreased uric acid excretion by the kidneys, which can result in hyperuricaemia. This condition can potentially lead to gout if not managed properly."
28,metolazone,Hypochloraemia,"True. Hypochloraemia, which is an electrolyte disturbance characterized by a low level of chloride in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention (edema) that works by increasing urine output, which can lead to the loss of electrolytes, including chloride."
29,metolazone,Hypokalaemia,"True. Hypokalaemia, which is a lower than normal level of potassium in the bloodstream, is a known side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Diuretics like metolazone can increase the excretion of potassium in the urine, which can lead to hypokalemia if not monitored and managed appropriately."
30,metolazone,Hypomagnesaemia,"True. Hypomagnesemia, which is a lower than normal level of magnesium in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Diuretics like metolazone can increase the excretion of electrolytes from the body, including magnesium, which can lead to hypomagnesemia."
31,metolazone,Hyponatraemia,"True. Hyponatraemia, which is a low concentration of sodium in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention (edema) that can cause electrolyte imbalances, including hyponatraemia. Patients taking metolazone should have their electrolyte levels monitored to prevent such side effects."
32,metolazone,Hypophosphataemia,"True. Hypophosphatemia, which is an abnormally low level of phosphate in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema from heart failure or kidney disease. Diuretics like metolazone increase the excretion of water and salts from the body, which can lead to an imbalance of electrolytes, including phosphates."
33,metolazone,Hypovolaemia,"Hypovolemia, which is an abnormally low volume of blood in the body, can indeed be a side effect of metolazone. Metolazone is a diuretic medication that increases urine output to help reduce fluid retention in conditions such as congestive heart failure, renal disorders, or hypertension. By promoting the excretion of water and electrolytes, diuretics like metolazone can potentially lead to a decrease in blood volume, which is hypovolemia. Therefore, the statement is true. However, it's important to note that while I can provide this information based on general medical knowledge, any concerns about medication side effects should be discussed with a healthcare professional."
34,metolazone,Insomnia,"True. Insomnia can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. As with many medications, metolazone can have a range of side effects, and while not everyone will experience insomnia, it is a possible side effect listed for this medication. Patients should consult their healthcare provider if they experience any troublesome side effects while taking metolazone."
35,metolazone,Lethargy,"True. Lethargy can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. As with many medications, it can have a range of side effects, and lethargy or fatigue is one of them. Patients taking metolazone or any other medication should discuss potential side effects with their healthcare provider."
36,metolazone,Leukopenia,"Leukopenia, which is a decrease in the number of white blood cells, can indeed be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema associated with heart failure, renal dysfunction, or liver disease. Like other diuretics, it can have various side effects, and hematologic side effects such as leukopenia, though rare, have been reported. Therefore, the statement is true. However, it is important to note that side effects can vary from person to person, and a healthcare professional should be consulted for personalized medical advice."
37,metolazone,Malaise,"True. Malaise, which is a general feeling of discomfort, illness, or uneasiness, can be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention due to various conditions. As with many medications, it can have side effects, and malaise is one of the potential side effects listed for this drug. Patients should consult their healthcare provider if they experience malaise or any other concerning symptoms while taking metolazone."
38,metolazone,Muscle spasms,"True. Muscle spasms can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with many diuretics, metolazone can lead to electrolyte imbalances, such as low levels of potassium (hypokalemia) or magnesium, which can in turn cause muscle spasms or cramps. It is important for patients taking metolazone to have their electrolyte levels monitored and to follow their healthcare provider's instructions to prevent or address such side effects."
39,metolazone,Nausea,"True. Nausea can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention due to various conditions, including heart failure. As with many medications, it can have a range of side effects, and nausea is one of the possible gastrointestinal side effects that some patients may experience."
40,metolazone,Nervousness,"Nervousness is not typically listed as a common side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalance, low blood pressure, and dizziness. However, as with any medication, individuals may experience different side effects, and nervousness could occur in rare cases. It is important to consult the prescribing information or a healthcare professional for a complete list of potential side effects. If someone experiences unusual side effects, they should contact their healthcare provider. 

Based on the information provided, the statement ""Nervousness is a side effect of metolazone"" is generally considered false, but with the caveat that individual reactions to medication can vary."
41,metolazone,Neuropathy peripheral,"Peripheral neuropathy is not a commonly recognized side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalances, low blood pressure, dizziness, and gastrointestinal issues.

Peripheral neuropathy, which is a condition resulting from damage to the peripheral nerves, can have many causes, including diabetes, infections, and exposure to toxins. While it is not a typical side effect of metolazone, it is possible for a medication to have rare or less commonly reported side effects that may not be widely recognized.

If a patient taking metolazone experiences symptoms of peripheral neuropathy, it should be brought to the attention of a healthcare provider to determine the cause and appropriate treatment. It is important to consider all possible causes for peripheral neuropathy and not assume it is due to a specific medication without proper medical evaluation."
42,metolazone,Oedema,"True. Oedema, which is the medical term for swelling caused by excess fluid trapped in the body's tissues, is not a side effect but rather a condition for which metolazone is often prescribed. Metolazone is a diuretic medication used to treat fluid retention (edema) in patients with congestive heart failure, renal disorders, or edema caused by other medical conditions. It works by causing the kidneys to eliminate excess water and salt from the body through urine, which reduces swelling. However, if used improperly or in the presence of certain medical conditions, diuretics can potentially lead to dehydration or electrolyte imbalances, which might indirectly contribute to edema, but this would be considered a complication or mismanagement rather than a direct side effect."
43,metolazone,Orthostatic hypotension,"Orthostatic hypotension, which is a form of low blood pressure that happens when standing up from sitting or lying down, can indeed be a side effect of metolazone. Metolazone is a diuretic medication that can lead to a decrease in blood volume, which in turn can cause a drop in blood pressure upon standing. Therefore, the statement is true. However, it's important to note that not everyone who takes metolazone will experience orthostatic hypotension, and other factors can contribute to the condition. Patients should consult their healthcare provider for personalized medical advice."
44,metolazone,Palpitations,"True. Palpitations can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. Palpitations are the sensation of having rapid, fluttering, or pounding heartbeats and can be a side effect of many medications, including diuretics like metolazone. Patients experiencing palpitations or other side effects should consult their healthcare provider."
45,metolazone,Pancreatitis,"Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. While pancreatitis is not a commonly reported side effect of metolazone, it is possible for any medication to cause an adverse reaction in a patient, including pancreatitis, although this would be considered rare.

According to the U.S. National Library of Medicine's DailyMed, which provides trustworthy information about marketed drugs in the United States, pancreatitis is not listed as a common side effect of metolazone. However, it is important to note that drug reactions can vary among individuals, and it is possible for a patient to experience pancreatitis as a reaction to any medication, including metolazone, even if it is not a well-documented side effect.

Therefore, while pancreatitis is not a commonly recognized side effect of metolazone, it cannot be completely ruled out as a potential adverse reaction in rare cases. If a patient taking metolazone develops symptoms of pancreatitis, they should seek medical attention promptly. It is important for healthcare providers to report such rare side effects to ensure that the safety profile of a medication is accurately understood and communicated."
46,metolazone,Paraesthesia,"Paraesthesia, which is an abnormal sensation such as tingling or pricking (""pins and needles""), can indeed be a side effect of various medications, including diuretics. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema (swelling) associated with heart failure or renal dysfunction.

While paraesthesia is not one of the most common side effects of metolazone, it is possible for it to occur as a side effect in some individuals. Therefore, the statement can be considered true, but it should be noted that the likelihood of experiencing this side effect is relatively low compared to other more common side effects of the medication. Patients should always consult with their healthcare provider for a complete list of potential side effects and any symptoms they experience while taking any medication."
47,metolazone,Peripheral coldness,"Peripheral coldness is not a commonly listed side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalance, hypotension, dizziness, headache, and gastrointestinal issues such as nausea or vomiting.

However, it is important to note that individual reactions to medication can vary, and peripheral coldness could potentially occur as a less common side effect or as a result of the body's response to reduced blood pressure or changes in fluid balance. Patients should consult their healthcare provider for a complete list of possible side effects and for personalized medical advice.

Based on the information typically provided about metolazone, the statement is generally considered false. However, if a patient experiences peripheral coldness while taking metolazone, they should consult their healthcare provider."
48,metolazone,Petechiae,"Petechiae, which are small, non-raised, red or purple spots on the skin caused by bleeding into the skin, can be a side effect of many medications, particularly those that affect platelet function or blood clotting. Metolazone is a type of diuretic known as a thiazide-like diuretic, which is primarily used to treat high blood pressure and edema (swelling) associated with heart failure or kidney disease.

While petechiae are not a commonly reported side effect of metolazone, it is possible for any medication to cause an unexpected reaction in some individuals. Diuretics can affect electrolyte balance and, in rare cases, could potentially contribute to conditions that might lead to petechiae, such as thrombocytopenia (low platelet count). However, this is not a well-established or common side effect of metolazone.

If a patient develops petechiae while taking metolazone, it would be important for them to seek medical advice to determine the cause, as it may or may not be related to the medication. Therefore, the statement ""Petechiae is a side effect of metolazone"" is not clearly true or false without additional context, but it is not a commonly recognized side effect according to standard drug information sources."
49,metolazone,Photosensitivity reaction,"True. Photosensitivity reaction, which is an increased sensitivity to sunlight leading to a risk of sunburn or skin rash, is a known side effect of metolazone, a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Patients taking metolazone should be advised to protect their skin from the sun to prevent photosensitivity reactions."
50,metolazone,Pneumonitis,"Pneonitis, which is inflammation of the lung tissue, is not a commonly recognized side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalance, low blood pressure, and dizziness, among others.

However, it is important to note that while pneumonitis is not a typical side effect, medication reactions can vary widely among individuals, and it is possible for any medication to cause an unusual or atypical reaction in a small number of patients. If a patient taking metolazone were to develop symptoms of pneumonitis, it would be important for them to seek medical attention promptly.

For the most accurate and personalized information, one should consult a healthcare professional or refer to the prescribing information for metolazone. As a lie detector, I cannot definitively say the statement is false without more context, but based on common knowledge and typical side effect profiles, pneumonitis is not a recognized side effect of metolazone."
51,metolazone,Pruritus,"True. Pruritus, which is an itching sensation, can indeed be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. As with many medications, it can have a range of side effects, and pruritus is one of the possible dermatological reactions listed for this drug. However, it's important to note that not everyone will experience this side effect, and if it occurs, it should be reported to a healthcare provider."
52,metolazone,Purpura,"True. Purpura, which is a condition characterized by purple spots on the skin caused by small blood vessels bleeding underneath the skin, can be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention. As with any medication, it can have side effects, and purpura is listed among the possible adverse reactions, although it is not one of the most common side effects. Patients taking metolazone who experience purpura should consult their healthcare provider."
53,metolazone,Rash,"True. Rash is a potential side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with many medications, it can cause a variety of side effects, and skin reactions such as rash are possible. If a patient develops a rash while taking metolazone, they should contact their healthcare provider."
54,metolazone,Respiratory distress,"Respiratory distress is not a commonly listed side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalances, dehydration, dizziness, hypotension, and gastrointestinal issues.

However, in rare cases or due to individual reactions, a person could potentially experience respiratory symptoms. If someone taking metolazone experiences respiratory distress, it should be considered a serious and potentially life-threatening situation, possibly due to an allergic reaction or another severe adverse effect, and medical attention should be sought immediately.

Therefore, the statement ""Respiratory distress is a side effect of metolazone"" is generally false, but with the caveat that rare or individual adverse reactions can occur with any medication."
55,metolazone,Restlessness,"True. Restlessness can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention due to various conditions, including heart failure. As with any medication, it can have a range of side effects, and restlessness or nervousness is one of the possible side effects that some patients may experience. If a patient taking metolazone experiences restlessness or other side effects, they should consult their healthcare provider."
56,metolazone,Sialoadenitis,"Sialoadenitis, which is inflammation of the salivary glands, is not a commonly recognized side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema associated with heart failure, renal dysfunction, or liver disease. Common side effects of metolazone include electrolyte imbalance, dehydration, low blood pressure, dizziness, headache, and gastrointestinal issues.

However, it is important to note that while sialoadenitis is not a commonly reported side effect, individual reactions to medication can vary, and it is possible for any medication to cause an unexpected adverse reaction in a patient. If a patient taking metolazone experiences symptoms of sialoadenitis, they should consult their healthcare provider.

Based on the information typically provided by medical references, the statement ""Sialoadenitis is a side effect of metolazone"" would generally be considered false. However, for the most accurate and personalized medical advice, individuals should consult healthcare professionals."
57,metolazone,Sinus congestion,"Sinus congestion is not a commonly listed side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalance, low blood pressure, dizziness, headache, and gastrointestinal issues. However, individual reactions to medication can vary, and it's possible for someone to experience sinus congestion while taking metolazone, although it is not a recognized common side effect. If you experience this or any other unexpected side effect, you should consult a healthcare professional."
58,metolazone,Skin necrosis,"Skin necrosis is not a commonly reported side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalance, hypotension, dizziness, headache, and gastrointestinal issues.

However, any medication can potentially cause a wide range of side effects in some individuals, and it is possible for a severe reaction to occur, such as an allergic reaction that could theoretically lead to skin issues. But skin necrosis specifically is not a typical or expected side effect of metolazone.

If a patient suspects they are experiencing severe side effects from any medication, they should seek immediate medical attention. Always consult with a healthcare professional for accurate information about the side effects of a particular medication."
59,metolazone,Somnolence,"True. Somnolence, which is a state of strong desire for sleep or sleeping for unusually long periods, can be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. As with many medications, it can have a range of side effects, and somnolence is one of them, although it may not be very common. Patients should always consult with their healthcare provider for a complete list of potential side effects and any concerns they may have regarding their medications."
60,metolazone,Stevens-Johnson syndrome,"Stevens-Johnson syndrome (SJS) is a rare, serious disorder of the skin and mucous membranes. It is typically a reaction to a medication or an infection. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema (swelling) associated with heart failure or other conditions.

While SJS can be caused by a variety of medications, it is important to note that it is a rare condition. Metolazone, like many drugs, has the potential to cause a range of side effects, and severe skin reactions, including SJS, can occur with almost any medication.

Given that SJS is a known, though rare, side effect of many medications, the statement ""Stevens-Johnson syndrome is a side effect of metolazone"" could be true. However, the incidence of such a side effect is very low, and not every individual taking metolazone will experience this reaction. It is always important to consult the official prescribing information or a medical professional for the most accurate and personalized information regarding drug side effects."
61,metolazone,Thrombocytopenia,"Thrombocytopenia, which is a condition characterized by abnormally low levels of platelets in the blood, can indeed be a side effect of various medications. Metolazone is a type of diuretic used to treat high blood pressure and fluid retention caused by heart failure or kidney disease.

While thrombocytopenia is not one of the most common side effects of metolazone, it can occur as an adverse reaction in some individuals. Therefore, the statement that thrombocytopenia is a side effect of metolazone is true, although it is relatively rare. Patients taking metolazone or any other medication should be monitored for side effects, and any concerns should be discussed with a healthcare provider."
62,metolazone,Tinnitus,"Tinnitus, which is a ringing or other noise in the ear, can indeed be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. While tinnitus is not one of the most common side effects of metolazone, it is listed as a possible side effect. Patients who experience tinnitus while taking metolazone should consult their healthcare provider. Therefore, the statement is true."
63,metolazone,Toxic epidermal necrolysis,"Toxic epidermal necrolysis (TEN) is a rare, life-threatening skin condition that is typically triggered by a reaction to drugs. Metolazone, a diuretic used to treat high blood pressure and edema, can potentially cause serious side effects, including severe skin reactions. Although it is not common, it is possible for metolazone to cause TEN as a severe adverse reaction.

Therefore, the statement that toxic epidermal necrolysis is a side effect of metolazone is potentially true, but it is important to note that such a reaction is rare. Patients are typically monitored for adverse reactions to any medication, and TEN would be considered a medical emergency requiring immediate attention."
64,metolazone,Urticaria,"Urticaria, also known as hives, can indeed be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Like many medications, it can have side effects, and urticaria is one of the possible allergic reactions that some individuals may experience. If a patient develops hives after taking metolazone, they should contact their healthcare provider, as it may indicate an allergic reaction to the medication.

Therefore, the statement is true."
65,metolazone,Venous thrombosis,"Venous thrombosis is not a commonly recognized side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention (edema) caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalance, low blood pressure, and dizziness, among others.

However, it is important to note that individual reactions to medication can vary, and while venous thrombosis is not a widely acknowledged or common side effect of metolazone, it is possible for any medication to cause unexpected side effects in certain individuals. Patients should always consult with their healthcare provider for personalized medical advice and report any unusual symptoms or side effects they experience.

For the most accurate and up-to-date information, one should refer to the official prescribing information or consult a medical professional."
66,metolazone,Vision blurred,"True. Vision blurred can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention due to various conditions. As with many medications, metolazone can have side effects, and blurred vision is one of the possible side effects listed. If someone experiences this side effect, they should consult with their healthcare provider."
