condition_name,meddra_pt_id,meddra_term,votes
GIB,10017865,Gastritis erosive,3
GIB,10017866,Gastritis haemorrhagic,3
GIB,10017886,Gastroduodenal ulcer,3
GIB,10060709,Gastrointestinal erosion,3
GIB,10017955,Gastrointestinal haemorrhage,3
GIB,10061459,Gastrointestinal ulcer,3
GIB,10018830,Haematemesis,3
GIB,10018836,Haematochezia,3
GIB,10067786,Haemorrhagic erosive gastritis,3
GIB,10054787,Haemorrhoidal haemorrhage,3
GIB,10019022,Haemorrhoids,3
GIB,10069829,Intestinal haematoma,3
GIB,10059175,Intestinal haemorrhage,3
GIB,10022714,Intestinal ulcer,3
GIB,10052534,Large intestinal haemorrhage,3
GIB,10023799,Large intestinal ulcer,3
GIB,10050953,Lower gastrointestinal haemorrhage,3
GIB,10027141,Melaena,3
GIB,10060717,Mesenteric haemorrhage,3
GIB,10061298,Mucosal haemorrhage,3
GIB,10061878,Occult blood,3
GIB,10061880,Occult blood positive,3
GIB,10030172,Oesophageal haemorrhage,3
GIB,10030201,Oesophageal ulcer,3
GIB,10030202,Oesophageal ulcer haemorrhage,3
GIB,10030210,Oesophageal varices haemorrhage,3
GIB,10049098,Oesophagitis ulcerative,3
GIB,10034341,Peptic ulcer,3
GIB,10038063,Rectal haemorrhage,3
GIB,10052535,Small intestinal haemorrhage,3
GIB,10041133,Small intestine ulcer,3
GIB,10042220,Stress ulcer,3
GIB,10045285,Ulcer,3
GIB,10061577,Ulcer haemorrhage,3
GIB,10046274,Upper gastrointestinal haemorrhage,3
GIB,10056091,Varices oesophageal,3
GIB,10016100,Faeces discoloured,2
