drug_name,condition_name,pt_meddra_term
indomethacin,gi bleed,rectal haemorrhage
ketoprofen,gi bleed,gastrointestinal haemorrhage
ketoprofen,gi bleed,haematemesis
ketoprofen,gi bleed,melaena
ketoprofen,gi bleed,rectal haemorrhage
ketoprofen,gi bleed,occult blood
ketorolac,gi bleed,gastrointestinal haemorrhage
ketorolac,gi bleed,haematemesis
ketorolac,gi bleed,melaena
ketorolac,gi bleed,rectal haemorrhage
mefenamate,gi bleed,gastrointestinal haemorrhage
mefenamate,gi bleed,haematemesis
mefenamate,gi bleed,melaena
mefenamate,gi bleed,rectal haemorrhage
meloxicam,gi bleed,duodenal ulcer
meloxicam,gi bleed,gastrointestinal haemorrhage
meloxicam,gi bleed,haematemesis
meloxicam,gi bleed,melaena
nabumetone,gi bleed,duodenal ulcer
nabumetone,gi bleed,gastrointestinal haemorrhage
nabumetone,gi bleed,melaena
nabumetone,gi bleed,rectal haemorrhage
naproxen,gi bleed,gastrointestinal haemorrhage
naproxen,gi bleed,haematemesis
naproxen,gi bleed,melaena
naproxen,gi bleed,rectal haemorrhage
oxaprozin,gi bleed,gastrointestinal haemorrhage
oxaprozin,gi bleed,haematemesis
oxaprozin,gi bleed,melaena
oxaprozin,gi bleed,rectal haemorrhage
piroxicam,gi bleed,gastrointestinal haemorrhage
piroxicam,gi bleed,haematemesis
piroxicam,gi bleed,melaena
piroxicam,gi bleed,rectal haemorrhage
potassium chloride,gi bleed,gastrointestinal haemorrhage
sertraline,gi bleed,haematochezia
sertraline,gi bleed,melaena
sertraline,gi bleed,rectal haemorrhage
sulindac,gi bleed,gastrointestinal haemorrhage
tolmetin,gi bleed,gastrointestinal haemorrhage
