file,set_id,spl_version,title,ingredient_rx_cui,ingredient_name,pt_meddra_id,pt_meddra_term,cohort_id,condition_name,positive_controls,label,cohort_id_right,drug_concept_id,affect,reference
./data/2024_latest_labels/latest_labels_ingredients/20240217_fabf55db-8b50-491f-b76d-a0fe5fb6c9b0.json,fabf55db-8b50-491f-b76d-a0fe5fb6c9b0,17,"These highlights do not include all the information needed to use CIPROFLOXACIN TABLETS safely and effectively. See full prescribing information for CIPROFLOXACIN TABLETS.
 

CIPROFLOXACIN tablet, for oral use
 
Initial U.S. Approval: 1987",2551,ciprofloxacin,10028596,myocardial infarction,500000801,acute myocardial infarction,29,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240217_fabf55db-8b50-491f-b76d-a0fe5fb6c9b0.json,fabf55db-8b50-491f-b76d-a0fe5fb6c9b0,17,"These highlights do not include all the information needed to use CIPROFLOXACIN TABLETS safely and effectively. See full prescribing information for CIPROFLOXACIN TABLETS.
 

CIPROFLOXACIN tablet, for oral use
 
Initial U.S. Approval: 1987",2551,ciprofloxacin,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240223_13abdafb-71a8-40a1-ba5a-7c2b2573e53e.json,13abdafb-71a8-40a1-ba5a-7c2b2573e53e,12,"Amitriptyline Hydrochloride Tablets, USP",704,amitriptyline,10019663,hepatic failure,500000301,acute liver injury,45,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_42f49299-7ae5-4d30-86eb-66b739c0e95d.json,42f49299-7ae5-4d30-86eb-66b739c0e95d,5,"These highlights do not include all the information needed to use LISINOPRIL TABLETS safely and effectively. See full prescribing information for LISINOPRIL TABLETS
 



LISINOPRIL tablets, for oral use
 



Initial U.S. Approval: 1988",29046,lisinopril,10028596,myocardial infarction,500000801,acute myocardial infarction,29,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240214_f34c08e6-fe74-4de3-9e36-a82c3c1c183b.json,f34c08e6-fe74-4de3-9e36-a82c3c1c183b,9,"These highlights do not include all the information needed to use MOXIFLOXACIN TABLETS safely and effectively. See full prescribing information for MOXIFLOXACIN TABLETS.
 MOXIFLOXACIN tablets, for oral use Initial U.S. Approval: 1999",139462,moxifloxacin,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240221_9678a98e-4aab-4d87-b5e1-37c3109e378e.json,9678a98e-4aab-4d87-b5e1-37c3109e378e,16,"These highlights do not include all the information needed to use TIZANIDINE Tablets, USP safely and effectively. See full prescribing information for TIZANIDINE Tablets, USP.TIZANIDINE (tizanidine hydrochloride) Tablets USP, for oral useInitial U.S. Approval:1996",57258,tizanidine,10024690,liver function test abnormal,500000301,acute liver injury,15,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_ccd95dfc-9236-4707-a715-6a12c91519ff.json,ccd95dfc-9236-4707-a715-6a12c91519ff,6,"These highlights do not include all the information needed to use NAPROXEN TABLETS safely and effectively. See full prescribing information for NAPROXEN TABLETS.
 

NAPROXEN tablets, for oral use
 

Initial U.S. Approval: 1976",7258,naproxen,10024690,liver function test abnormal,500000301,acute liver injury,15,1,500000301,1115008,1,1
./data/2024_latest_labels/latest_labels_ingredients/20240224_b72ca065-6396-41b9-a195-a8819688f471.json,b72ca065-6396-41b9-a195-a8819688f471,9,"These highlights do not include all the information needed to use SPIRONOLACTONE TABLETS safely and effectively. See full prescribing information for SPIRONOLACTONE TABLETS.
 



SPIRONOLACTONE tablets for oral use
 



Initial U.S. Approval: 1960",9997,spironolactone,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240223_4260d746-bb58-4e10-9ffe-fc414f22b591.json,4260d746-bb58-4e10-9ffe-fc414f22b591,11,"Gemfibrozil Tablets, USP 600 mg",4719,gemfibrozil,10024690,liver function test abnormal,500000301,acute liver injury,15,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240218_726b1e63-437a-4b3b-b773-3ac47a5c0f38.json,726b1e63-437a-4b3b-b773-3ac47a5c0f38,8,"These highlights do not include all the information needed to use EZETIMIBE TABLETS safely and effectively. See full prescribing information for EZETIMIBE TABLETS.
 EZETIMIBE tablets, for oral use Initial U.S. Approval: 2002",341248,ezetimibe,10062685,hepatic enzyme abnormal,500000301,acute liver injury,3,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240126_1fffe88d-50c8-45cf-ac7c-a62b665c89a8.json,1fffe88d-50c8-45cf-ac7c-a62b665c89a8,16,SULINDAC TABLETS USP,10237,sulindac,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/train_xml/20141007_144067b2-0532-476a-996e-e4a0a9d09b05.json,144067b2-0532-476a-996e-e4a0a9d09b05,1,"These highlights do not include all the information needed to use STRIBILD safely and effectively. See full prescribing information for STRIBILD.
 STRIBILD® (elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate) tablets, for oral useInitial U.S. Approval: 2012",300195,tenofovir disoproxil,10069339,acute kidney injury,500000401,acute kidney injury,6,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240214_6296e2ed-334c-b9af-e053-2991aa0aae0c.json,6296e2ed-334c-b9af-e053-2991aa0aae0c,5,"Erythromycin Ophthalmic Ointment, USP 0.5% (Sterile)",4053,erythromycin,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_56370be6-42a2-4962-acdc-22b7c6e0e7fe.json,56370be6-42a2-4962-acdc-22b7c6e0e7fe,8,"These highlights do not include all the information needed to use ZIPRASIDONE CAPSULES safely and effectively. See full prescribing information for ZIPRASIDONE CAPSULES.


ZIPRASIDONE capsules, for oral use

Initial U.S. Approval: 2001",115698,ziprasidone,10018830,haematemesis,500001001,gi bleed,11,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_eb354221-c476-41cb-ad87-52423f81d698.json,eb354221-c476-41cb-ad87-52423f81d698,3,"Cefdinir Capsules, USP
 
Rx only",25037,cefdinir,10028596,myocardial infarction,500000801,acute myocardial infarction,29,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240119_00aa81c2-73c7-4bf8-94e9-f644381b631f.json,00aa81c2-73c7-4bf8-94e9-f644381b631f,4,"These highlights do not include all the information needed to use ESOMEPRAZOLE MAGNESIUM DELAYED-RELEASE CAPSULES safely and effectively. See full prescribing information for ESOMEPRAZOLE MAGNESIUM DELAYED-RELEASE CAPSULES.
 

ESOMEPRAZOLE MAGNESIUM delayed-release capsules, for oral use
 

Initial U.S. Approval: 1989 (omeprazole)",283742,esomeprazole,10019663,hepatic failure,500000301,acute liver injury,45,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240217_b6b1d427-e19a-4fc1-b518-f58bacc46736.json,b6b1d427-e19a-4fc1-b518-f58bacc46736,8,"Guanfacine Tablets, USP 


Rx only",40114,guanfacine,10024690,liver function test abnormal,500000301,acute liver injury,15,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240220_113558e6-8b45-cdbd-e063-6394a90ac036.json,113558e6-8b45-cdbd-e063-6394a90ac036,2,"Etodolac Tablets, USP
  
(400 mg and 500 mg) 
 

Rx only",24605,etodolac,10038435,renal failure,500000401,acute kidney injury,20,1,500000401,1195492,1,1
./data/2024_latest_labels/latest_labels_ingredients/20240223_b81c6495-8b30-41ef-8a0f-4cbfd87f1eb4.json,b81c6495-8b30-41ef-8a0f-4cbfd87f1eb4,9,"IBUPROFEN Tablets, USP",5640,ibuprofen,10019692,hepatic necrosis,500000301,acute liver injury,15,1,500000301,1177480,1,1
./data/2024_latest_labels/latest_labels_ingredients/20240201_d79a4b28-ef2b-4f0f-baec-002df7d06dd4.json,d79a4b28-ef2b-4f0f-baec-002df7d06dd4,10,Cefaclor Capsules USP,2176,cefaclor,10062237,renal impairment,500000401,acute kidney injury,8,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_09c6c750-ae05-459f-83e8-4a9e4fd85212.json,09c6c750-ae05-459f-83e8-4a9e4fd85212,28,"These highlights do not include all the information needed to use ATORVASTATIN CALCIUM TABLETS safely and effectively. See full prescribing information for ATORVASTATIN CALCIUM TABLETS.
 

ATORVASTATIN CALCIUM tablets, for oral use
 

Initial U.S. Approval: 1996",83367,atorvastatin,10019663,hepatic failure,500000301,acute liver injury,45,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_41c095b6-acd9-4627-a813-bbca7ecafee5.json,41c095b6-acd9-4627-a813-bbca7ecafee5,10,"These highlights do not include all the information needed to use DONEPEZIL HYDROCHLORIDE TABLETS safely and effectively. See full prescribing information for DONEPEZIL HYDROCHLORIDE TABLETS.
 

DONEPEZIL HYDROCHLORIDE tablets, for oral use
 
Initial U.S. Approval: 1996",135447,donepezil,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_0f672b76-f673-4cba-99d2-818a9e2e6d7f.json,0f672b76-f673-4cba-99d2-818a9e2e6d7f,7,"These highlights do not include all the information needed to use LOSARTAN POTASSIUM TABLETS safely and effectively. see full prescribing information for LOSARTAN POTASSIUM TABLETS.
 



LOSARTAN POTASSIUM tablets, for oral use
 

Initial U.S. Approval: 1995",52175,losartan,10062237,renal impairment,500000401,acute kidney injury,8,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240217_fedbffa7-087d-4448-85c9-0350a3947080.json,fedbffa7-087d-4448-85c9-0350a3947080,10,"HIGHLIGHTS OF PRESCRIBING INFORMATION

These highlights do not include all the information needed to use LINEZOLID INJECTION safely and effectively. See full prescribing information for LINEZOLID INJECTION.




LINEZOLID injection, for intravenous use

Initial U.S. Approval: 2000",190376,linezolid,10017955,gastrointestinal haemorrhage,500001001,gi bleed,21,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240216_bc737938-ae36-460b-a2a8-609f3fe59156.json,bc737938-ae36-460b-a2a8-609f3fe59156,2,"These highlights do not include all the information needed to use VANCOMYCIN HYDROCHLORIDE CAPSULES safely and effectively. See full prescribing information for VANCOMYCIN HYDROCHLORIDE CAPSULES.  VANCOMYCIN HYDROCHLORIDE capsules, for oral use Initial U.S. Approval: 1986 To reduce the development of drug-resistant bacteria and maintain the effectiveness of vancomycin hydrochloride capsules and other antibacterial drugs, vancomycin hydrochloride capsules should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria.",11124,vancomycin,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_11fad602-16c2-4c1f-bdf1-867d95f063ca.json,11fad602-16c2-4c1f-bdf1-867d95f063ca,10,"These highlights do not include all the information needed to use ROSUVASTATIN TABLETS safely and effectively. See full prescribing information for ROSUVASTATIN TABLETS.
 

ROSUVASTATIN tablets, for oral use
 
Initial U.S. Approval: 2003",301542,rosuvastatin,10060795,hepatic enzyme increased,500000301,acute liver injury,14,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20230713_740a0f37-aa95-4558-b415-be516b8c40a3.json,740a0f37-aa95-4558-b415-be516b8c40a3,2,"Tolmetin Sodium Capsules, USP 400 mg
 Rx only",10636,tolmetin,10017955,gastrointestinal haemorrhage,500001001,gi bleed,21,1,500001001,1102917,1,1
./data/2024_latest_labels/latest_labels_ingredients/20120323_8bc2ddf8-d695-46b3-bf76-9f85ce6027e3.json,8bc2ddf8-d695-46b3-bf76-9f85ce6027e3,4,Ganite® (gallium nitrate injection),1310124,gallium,10069339,acute kidney injury,500000401,acute kidney injury,6,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_5108ca9c-b307-4cb2-8ea1-6553764f375a.json,5108ca9c-b307-4cb2-8ea1-6553764f375a,13,"These highlights do not include all the information needed to use ESCITALOPRAM TABLETS safely and effectively. See full prescribing information for ESCITALOPRAM TABLETS.
 



ESCITALOPRAM tablets, for oral use
 








Initial U.S. Approval: 2002",321988,escitalopram,10028596,myocardial infarction,500000801,acute myocardial infarction,29,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240223_726daf35-4c03-464f-a814-cc0a715d6031.json,726daf35-4c03-464f-a814-cc0a715d6031,1,"Fluconazole Tablets USP
 
Rx only",4450,fluconazole,10019837,hepatocellular injury,500000301,acute liver injury,3,1,500000301,1754994,1,1
./data/2024_latest_labels/latest_labels_ingredients/20231111_3c52dddd-0457-41cd-99e0-d30d4fd00ec5.json,3c52dddd-0457-41cd-99e0-d30d4fd00ec5,4,"These highlights do not include all the information needed to use SELZENTRY safely and effectively. See full prescribing information for SELZENTRY.
SELZENTRY (maraviroc) tablets, for oral useSELZENTRY (maraviroc) oral solutionInitial U.S. Approval: 2007",620216,maraviroc,10019851,hepatotoxicity,500000301,acute liver injury,28,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240105_a26cfa07-14a7-4468-8eed-3529f3d613f4.json,a26cfa07-14a7-4468-8eed-3529f3d613f4,6,"These highlights do not include all the information needed to use EFAVIRENZ CAPSULES safely and effectively. See full prescribing information for EFAVIRENZ CAPSULES.
 EFAVIRENZ capsules for oral use Initial U.S. Approval: 1998",195085,efavirenz,10019663,hepatic failure,500000301,acute liver injury,45,1,500000301,1738135,1,1
./data/2024_latest_labels/latest_labels_ingredients/20230221_87768fbf-7c63-47da-8925-0316f343d6ef.json,87768fbf-7c63-47da-8925-0316f343d6ef,16,"These highlights do not include all the information needed to use PERINDOPRIL ERBUMINE TABLETS safely and effectively. See full prescribing information for PERINDOPRIL ERBUMINE TABLETS.
 PERINDOPRIL erbumine tablets, for oral use Initial U.S. Approval: 1993",54552,perindopril,10062237,renal impairment,500000401,acute kidney injury,8,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_0be243c6-de02-45dd-8210-cab1bbc8dfa7.json,0be243c6-de02-45dd-8210-cab1bbc8dfa7,28,"These highlights do not include all the information needed to use CLARITHROMYCIN TABLETS safely and effectively. See full prescribing information for CLARITHROMYCIN TABLETS.
 

CLARITHROMYCIN tablets, for oral use
 
Initial U.S. Approval: 1991",21212,clarithromycin,10024690,liver function test abnormal,500000301,acute liver injury,15,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240202_e2e576e6-6181-4178-b989-61d0e795e559.json,e2e576e6-6181-4178-b989-61d0e795e559,13,"These highlights do not include all the information needed to use JANUVIA safely and effectively. See full prescribing information for JANUVIA. 
JANUVIA® (sitagliptin) tablets, for oral useInitial U.S. Approval: 2006",593411,sitagliptin,10062237,renal impairment,500000401,acute kidney injury,8,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_c394914b-2334-418e-bf86-9f9100323717.json,c394914b-2334-418e-bf86-9f9100323717,6,KETOCONAZOLE CREAM 2%,6135,ketoconazole,10019663,hepatic failure,500000301,acute liver injury,45,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20230912_4031017d-d768-46de-8081-476bcb883f5e.json,4031017d-d768-46de-8081-476bcb883f5e,5,"These highlights do not include all the information needed to use GEMCITABINE INJECTION safely and effectively. See full prescribing information for GEMCITABINE INJECTION.
 



GEMCITABINE injection, for intravenous use
 

Initial U.S. Approval: 1996",12574,gemcitabine,10019663,hepatic failure,500000301,acute liver injury,45,1,500000301,1314924,1,1
./data/2024_latest_labels/latest_labels_ingredients/20231117_8512d0c6-db4e-4673-b3b4-28975c18413f.json,8512d0c6-db4e-4673-b3b4-28975c18413f,12,"",32385,olsalazine,10019837,hepatocellular injury,500000301,acute liver injury,3,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240209_53bdb79c-c4cf-4818-b1f0-225e67a14536.json,53bdb79c-c4cf-4818-b1f0-225e67a14536,24,"These highlights do not include all the information needed to use CLOZAPINE TABLETS safely and effectively. See full prescribing information for CLOZAPINE TABLETS.
 
CLOZAPINE tablets, for oral use
 
Initial U.S. Approval: 1989",2626,clozapine,10038435,renal failure,500000401,acute kidney injury,20,1,500000401,800878,0,1
./data/2024_latest_labels/latest_labels_ingredients/20240220_e2dbbdf9-ddfd-4d6d-ad42-6e658969f11e.json,e2dbbdf9-ddfd-4d6d-ad42-6e658969f11e,1,"Pyrazinamide Tablets, USP
  
Rx Only
  
8478901/0923F",8987,pyrazinamide,10019851,hepatotoxicity,500000301,acute liver injury,28,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20160806_77d619f8-05a3-408a-a6f8-1511694b6a24.json,77d619f8-05a3-408a-a6f8-1511694b6a24,3,TICLOPIDINE HYDROCHLORIDE TABLETS USP 0154 Rx only,10594,ticlopidine,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20231107_9803db35-2600-4f42-80c1-43216fd1ba3d.json,9803db35-2600-4f42-80c1-43216fd1ba3d,4,"These highlights do not include all the information needed to use ACAMPROSATE CALCIUM DELAYED-RELEASE TABLETS safely and effectively. See full prescribing information for ACAMPROSATE CALCIUM DELAYED-RELEASE TABLETS.
ACAMPROSATE CALCIUM delayed-release tablets, for oral useInitial U.S. Approval: 2004",82819,acamprosate,10018830,haematemesis,500001001,gi bleed,11,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240209_22477d77-3369-43cf-a444-dfc7ea69cacf.json,22477d77-3369-43cf-a444-dfc7ea69cacf,2,"BACLOFEN TABLETS USP

Rx only",1292,baclofen,10017955,gastrointestinal haemorrhage,500001001,gi bleed,21,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_f299b2d2-86ed-4fb8-822e-65455a0bb75a.json,f299b2d2-86ed-4fb8-822e-65455a0bb75a,6,"These highlights do not include all the information needed to use OXALIPLATIN INJECTION safely and effectively. See full prescribing information for OXALIPLATIN INJECTION.OXALIPLATIN injection, for intravenous useInitial U.S. Approval: 2002",32592,oxaliplatin,10019851,hepatotoxicity,500000301,acute liver injury,28,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240117_852f013f-6759-4438-83c1-8ff48133dc85.json,852f013f-6759-4438-83c1-8ff48133dc85,4,"HIGHLIGHTS OF PRESCRIBING INFORMATION These highlights do not include all the information needed to use ALBENDAZOLE TABLETS safely and effectively. See full prescribing information for ALBENDAZOLE TABLETS.  ALBENDAZOLE tablets, for oral use  Initial U.S. Approval: 1996",430,albendazole,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240104_8e99d6fe-42ab-44c1-8b51-e4ac7406dbe4.json,8e99d6fe-42ab-44c1-8b51-e4ac7406dbe4,2,"Oxacillin for Injection, USP
 

For Intramuscular or Intravenous Injection",7773,oxacillin,10019851,hepatotoxicity,500000301,acute liver injury,28,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240104_8e99d6fe-42ab-44c1-8b51-e4ac7406dbe4.json,8e99d6fe-42ab-44c1-8b51-e4ac7406dbe4,2,"Oxacillin for Injection, USP
 

For Intramuscular or Intravenous Injection",7773,oxacillin,10024690,liver function test abnormal,500000301,acute liver injury,15,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20231116_b7241707-7538-4d1a-91e7-3a25a91e0b9a.json,b7241707-7538-4d1a-91e7-3a25a91e0b9a,14,"These highlights do not include all the information needed to use IFEX (ifosfamide) safely and effectively.  See full prescribing information for IFEX.
IFEX (ifosfamide) for injection, intravenous useInitial U.S. Approval: 1988",5657,ifosfamide,10019663,hepatic failure,500000301,acute liver injury,45,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20230620_20e5acf0-90b7-45c8-be78-91eaf77c9ac0.json,20e5acf0-90b7-45c8-be78-91eaf77c9ac0,2,"These highlights do not include all the information needed to use FLUDARABINE phosphate injection safely and effectively. See full prescribing information for FLUDARABINE phosphate injection.
FLUDARABINE phosphate injection, for intravenous use onlyInitial U.S. Approval: 1991",24698,fludarabine,10019663,hepatic failure,500000301,acute liver injury,45,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240216_bc737938-ae36-460b-a2a8-609f3fe59156.json,bc737938-ae36-460b-a2a8-609f3fe59156,2,"These highlights do not include all the information needed to use VANCOMYCIN HYDROCHLORIDE CAPSULES safely and effectively. See full prescribing information for VANCOMYCIN HYDROCHLORIDE CAPSULES.  VANCOMYCIN HYDROCHLORIDE capsules, for oral use Initial U.S. Approval: 1986 To reduce the development of drug-resistant bacteria and maintain the effectiveness of vancomycin hydrochloride capsules and other antibacterial drugs, vancomycin hydrochloride capsules should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria.",11124,vancomycin,10069339,acute kidney injury,500000401,acute kidney injury,6,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20230916_2cab8dd1-3a10-48e6-86ce-0e5275ed49e5.json,2cab8dd1-3a10-48e6-86ce-0e5275ed49e5,10,"These highlights do not include all the information needed to use FARESTON® safely and effectively. See full prescribing information for FARESTON®.


FARESTON® (toremifene citrate) 60 mg Tablets oral administration

Initial U.S. Approval: 1997",38409,toremifene,10019851,hepatotoxicity,500000301,acute liver injury,28,1,,,,
./data/2024_latest_labels/train_xml/20231004_63df5af3-b8ac-4e76-9830-2dbb340af922.json,63df5af3-b8ac-4e76-9830-2dbb340af922,27,"These highlights do not include all the information needed to use TIVICAY safely and effectively. See full prescribing information for TIVICAY.TIVICAY (dolutegravir) tablets, for oral use TIVICAY PD (dolutegravir) tablets for oral suspensionInitial U.S. Approval: 2013",1433868,dolutegravir,10062237,renal impairment,500000401,acute kidney injury,8,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20231205_4afb20ee-eb3f-1937-ffa4-5d3228e82688.json,4afb20ee-eb3f-1937-ffa4-5d3228e82688,3,Penicillamine Capsules,7975,penicillamine,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20210106_dd367eec-359a-4065-b5c3-7c0107c823fe.json,dd367eec-359a-4065-b5c3-7c0107c823fe,7,"Tolcapone Tablets

100 mg",72937,tolcapone,10028596,myocardial infarction,500000801,acute myocardial infarction,29,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_c36132b2-3ec7-4c43-a25e-75cbdbe3d88d.json,c36132b2-3ec7-4c43-a25e-75cbdbe3d88d,5,"CYCLOSPORINE, MODIFIED - cyclosporine capsule, liquid filledRx only Prescribing Information",3008,cyclosporine,10067125,liver injury,500000301,acute liver injury,6,1,500000301,19010482,1,1
./data/2024_latest_labels/latest_labels_ingredients/20240125_da1ce22b-6a8e-40a2-afbb-011fa3ed3a8b.json,da1ce22b-6a8e-40a2-afbb-011fa3ed3a8b,10,"These highlights do not include all the information needed to use ROPIVACAINE HYDROCHLORIDE INJECTION safely and effectively. See full prescribing information for ROPIVACAINE HYDROCHLORIDE INJECTION.



ROPIVACAINE HYDROCHLORIDE injection, for epidural, perineural, or infiltration use 

Initial U.S. Approval: 1996",35780,ropivacaine,10028596,myocardial infarction,500000801,acute myocardial infarction,29,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240105_dc8d68d1-0c5c-4004-b71d-22b83daf4270.json,dc8d68d1-0c5c-4004-b71d-22b83daf4270,6,"These highlights do not include all the information needed to use BEXAROTENE CAPSULES safely and effectively.  See full prescribing information for BEXAROTENE CAPSULES.BEXAROTENE capsules, for oral useInitial U.S. Approval: 1999",233272,bexarotene,10062237,renal impairment,500000401,acute kidney injury,8,1,,,,
